mode,fold,target,benchmark,subdir,instance_id,col_idx,weight
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_1115,21348,0.009420053555857275
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_1119,21352,0.009420053555856725
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_1134,21366,0.009420053555856367
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_1135,21367,0.009420053555856622
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_1136,21368,0.009420053555856562
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_1137,21369,0.009420053555856565
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_1140,21373,0.009420053555856565
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_1146,21379,0.009420053555856565
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_1161,21395,0.009420053555856565
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_1164,21398,0.009420053555856565
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_125,21411,0.009420053555856565
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_199,21490,0.009420053555856565
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_674,21993,0.009420053555856565
FIT-ALL-pinA,ALL,gaia,visualpuzzles,,visualpuzzles_998,22337,0.009420053555856565
FIT-ALL-pinA,ALL,gaia,visualwebbench,,heading_ocr_3,23396,-0.3575588488422012
FIT-ALL-pinA,ALL,gaia,visualwebbench,,web_caption_125,23448,0.22060594652774346
FIT-ALL-pinA,ALL,gaia,visualwebbench,,web_caption_127,23450,0.3221937470435706
FIT-ALL-pinA,ALL,gaia,visualwebbench,,web_caption_28,23473,-0.037478116234349844
FIT-ALL-pinA,ALL,gaia,visualwebbench,,web_caption_57,23505,0.5673292497235356
FIT-ALL-pinA,ALL,gaia,visualwebbench,,web_caption_66,23515,0.19304157982587067
FIT-ALL-pinA,ALL,swebench,bfcl,live_irrelevance,live_irrelevance_293,1626,0.0013099926001461657
FIT-ALL-pinA,ALL,swebench,bfcl,non_live_simple_python,simple_python_395,4406,0.00128411144307186
FIT-ALL-pinA,ALL,swebench,ifeval,prompt_level_loose_acc,399,6511,0.005848005635764388
FIT-ALL-pinA,ALL,swebench,ifeval,prompt_level_strict_acc,399,6861,0.005848005635764387
FIT-ALL-pinA,ALL,swebench,livecodebench,codegeneration,764,11002,0.005772761994347001
FIT-ALL-pinA,ALL,swebench,mmmu,,validation_Biology_3,13656,0.004723523781009288
FIT-ALL-pinA,ALL,swebench,mmmu,,validation_Pharmacy_20,14151,0.00565939015648538
FIT-ALL-pinA,ALL,swebench,planbench,task_2_plan_optimality,207,14902,0.00565939015648538
FIT-ALL-pinA,ALL,swebench,planbench,task_2_plan_optimality,213,14909,0.00565939015648538
FIT-ALL-pinA,ALL,swebench,planbench,task_2_plan_optimality,242,14941,0.005772761994347002
FIT-ALL-pinA,ALL,swebench,planbench,task_5_plan_generalization,125,16132,0.00014173992287900544
FIT-ALL-pinA,ALL,swebench,planbench,task_7_plan_execution,335,16975,0.005848005635764387
FIT-ALL-pinA,ALL,swebench,planbench,task_8_2_full_to_partial,53,18163,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,planbench,task_8_3_partial_to_full,481,18638,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,repobench,repobench_xff_python_codebleu,repobench_158,19640,0.001981070907709842
FIT-ALL-pinA,ALL,swebench,repobench,repobench_xff_python_edit_similarity,repobench_158,19946,0.0036707196552811295
FIT-ALL-pinA,ALL,swebench,repobench,repobench_xfr_python_codebleu,repobench_241,20559,0.00308804392205648
FIT-ALL-pinA,ALL,swebench,visualpuzzles,,visualpuzzles_1039,21268,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,visualpuzzles,,visualpuzzles_1113,21347,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,visualpuzzles,,visualpuzzles_1148,21381,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,visualpuzzles,,visualpuzzles_1151,21385,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,visualpuzzles,,visualpuzzles_1156,21389,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,visualpuzzles,,visualpuzzles_1158,21391,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,visualpuzzles,,visualpuzzles_1162,21396,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,visualpuzzles,,visualpuzzles_1166,21400,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,visualpuzzles,,visualpuzzles_139,21425,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,visualpuzzles,,visualpuzzles_477,21782,0.0056593901564853805
FIT-ALL-pinA,ALL,swebench,visualpuzzles,,visualpuzzles_479,21784,0.0056593901564853805
