id,score,metric_name
live_irrelevance_81-2-69,0.0,accuracy
live_irrelevance_124-10-0,0.0,accuracy
live_irrelevance_125-11-0,0.0,accuracy
live_irrelevance_127-11-2,0.0,accuracy
live_irrelevance_130-11-5,0.0,accuracy
live_irrelevance_132-11-7,0.0,accuracy
live_irrelevance_133-12-0,0.0,accuracy
live_irrelevance_135-13-1,0.0,accuracy
live_irrelevance_137-13-3,0.0,accuracy
live_irrelevance_142-13-8,0.0,accuracy
live_irrelevance_144-13-10,0.0,accuracy
live_irrelevance_145-13-11,0.0,accuracy
live_irrelevance_150-15-3,0.0,accuracy
live_irrelevance_155-17-2,0.0,accuracy
live_irrelevance_166-21-2,0.0,accuracy
live_irrelevance_167-22-0,0.0,accuracy
live_irrelevance_171-25-0,0.0,accuracy
live_irrelevance_204-32-17,0.0,accuracy
live_irrelevance_217-34-6,0.0,accuracy
live_irrelevance_248-49-0,0.0,accuracy
live_irrelevance_251-52-0,0.0,accuracy
live_irrelevance_254-53-2,0.0,accuracy
live_irrelevance_256-55-0,0.0,accuracy
live_irrelevance_257-56-0,0.0,accuracy
live_irrelevance_259-56-2,0.0,accuracy
live_irrelevance_275-60-0,0.0,accuracy
live_irrelevance_276-60-1,0.0,accuracy
live_irrelevance_277-60-2,0.0,accuracy
live_irrelevance_282-64-0,0.0,accuracy
live_irrelevance_286-68-0,0.0,accuracy
live_irrelevance_303-76-1,0.0,accuracy
live_irrelevance_304-76-2,0.0,accuracy
live_irrelevance_310-76-8,0.0,accuracy
live_irrelevance_311-76-9,0.0,accuracy
live_irrelevance_313-76-11,0.0,accuracy
live_irrelevance_317-76-15,0.0,accuracy
live_irrelevance_318-76-16,0.0,accuracy
live_irrelevance_326-76-24,0.0,accuracy
live_irrelevance_329-76-27,0.0,accuracy
live_irrelevance_333-78-0,0.0,accuracy
live_irrelevance_337-80-0,0.0,accuracy
live_irrelevance_338-80-1,0.0,accuracy
live_irrelevance_339-81-0,0.0,accuracy
live_irrelevance_343-81-4,0.0,accuracy
live_irrelevance_347-81-8,0.0,accuracy
live_irrelevance_348-81-9,0.0,accuracy
live_irrelevance_350-81-11,0.0,accuracy
live_irrelevance_351-81-12,0.0,accuracy
live_irrelevance_366-81-27,0.0,accuracy
live_irrelevance_383-81-44,0.0,accuracy
live_irrelevance_384-81-45,0.0,accuracy
live_irrelevance_385-81-46,0.0,accuracy
live_irrelevance_386-81-47,0.0,accuracy
live_irrelevance_387-81-48,0.0,accuracy
live_irrelevance_388-81-49,0.0,accuracy
live_irrelevance_392-81-53,0.0,accuracy
live_irrelevance_404-86-0,0.0,accuracy
live_irrelevance_405-87-0,0.0,accuracy
live_irrelevance_406-88-0,0.0,accuracy
live_irrelevance_411-92-0,0.0,accuracy
live_irrelevance_413-93-0,0.0,accuracy
live_irrelevance_414-93-1,0.0,accuracy
live_irrelevance_421-99-0,0.0,accuracy
live_irrelevance_422-100-0,0.0,accuracy
live_irrelevance_427-102-1,0.0,accuracy
live_irrelevance_428-103-0,0.0,accuracy
live_irrelevance_429-104-0,0.0,accuracy
live_irrelevance_430-105-0,0.0,accuracy
live_irrelevance_431-106-0,0.0,accuracy
live_irrelevance_438-110-0,0.0,accuracy
live_irrelevance_439-110-1,0.0,accuracy
live_irrelevance_441-112-0,0.0,accuracy
live_irrelevance_442-113-0,0.0,accuracy
live_irrelevance_448-117-0,0.0,accuracy
live_irrelevance_449-118-0,0.0,accuracy
live_irrelevance_454-121-1,0.0,accuracy
live_irrelevance_457-124-0,0.0,accuracy
live_irrelevance_459-125-0,0.0,accuracy
live_irrelevance_462-127-0,0.0,accuracy
live_irrelevance_465-129-0,0.0,accuracy
live_irrelevance_466-129-1,0.0,accuracy
live_irrelevance_467-129-2,0.0,accuracy
live_irrelevance_472-132-0,0.0,accuracy
live_irrelevance_478-135-0,0.0,accuracy
live_irrelevance_488-141-1,0.0,accuracy
live_irrelevance_489-142-0,0.0,accuracy
live_irrelevance_497-143-0,0.0,accuracy
live_irrelevance_503-148-0,0.0,accuracy
live_irrelevance_504-148-1,0.0,accuracy
live_irrelevance_505-148-2,0.0,accuracy
live_irrelevance_506-148-3,0.0,accuracy
live_irrelevance_507-149-0,0.0,accuracy
live_irrelevance_509-150-0,0.0,accuracy
live_irrelevance_511-151-0,0.0,accuracy
live_irrelevance_512-151-1,0.0,accuracy
live_irrelevance_513-152-0,0.0,accuracy
live_irrelevance_515-154-0,0.0,accuracy
live_irrelevance_516-154-1,0.0,accuracy
live_irrelevance_520-157-1,0.0,accuracy
live_irrelevance_527-162-2,0.0,accuracy
live_irrelevance_537-168-0,0.0,accuracy
live_irrelevance_539-168-2,0.0,accuracy
live_irrelevance_544-168-7,0.0,accuracy
live_irrelevance_546-168-9,0.0,accuracy
live_irrelevance_551-169-4,0.0,accuracy
live_irrelevance_558-171-0,0.0,accuracy
live_irrelevance_559-172-0,0.0,accuracy
live_irrelevance_560-172-1,0.0,accuracy
live_irrelevance_562-172-3,0.0,accuracy
live_irrelevance_564-172-5,0.0,accuracy
live_irrelevance_567-175-0,0.0,accuracy
live_irrelevance_568-176-0,0.0,accuracy
live_irrelevance_576-179-5,0.0,accuracy
live_irrelevance_580-182-0,0.0,accuracy
live_irrelevance_581-182-1,0.0,accuracy
live_irrelevance_583-182-3,0.0,accuracy
live_irrelevance_584-182-4,0.0,accuracy
live_irrelevance_585-182-5,0.0,accuracy
live_irrelevance_589-184-0,0.0,accuracy
live_irrelevance_597-192-0,0.0,accuracy
live_irrelevance_620-196-1,0.0,accuracy
live_irrelevance_633-201-1,0.0,accuracy
live_irrelevance_635-201-3,0.0,accuracy
live_irrelevance_638-202-2,0.0,accuracy
live_irrelevance_647-205-1,0.0,accuracy
live_irrelevance_652-206-1,0.0,accuracy
live_irrelevance_659-210-0,0.0,accuracy
live_irrelevance_664-211-4,0.0,accuracy
live_irrelevance_692-225-2,0.0,accuracy
live_irrelevance_697-227-0,0.0,accuracy
live_irrelevance_698-227-1,0.0,accuracy
live_irrelevance_712-236-0,0.0,accuracy
live_irrelevance_717-237-4,0.0,accuracy
