mode,fold,target,benchmark,subdir,instance_id,col_idx,weight
FIT-ALL,ALL,gaia,mmmu,,validation_Marketing_28,27852,0.0029949600501433513
FIT-ALL,ALL,gaia,planbench,task_8_3_partial_to_full,6,32503,0.002994960050143354
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_1115,35181,0.002994960050143353
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_1119,35185,0.002994960050143353
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_1134,35199,0.002994960050143353
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_1135,35200,0.002994960050143353
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_1136,35201,0.002994960050143353
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_1137,35202,0.002994960050143353
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_514,35654,0.002994960050143353
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_520,35661,0.002994960050143353
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_522,35663,0.002994960050143353
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_543,35685,0.002994960050143353
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_577,35721,0.002994960050143353
FIT-ALL,ALL,gaia,visualpuzzles,,visualpuzzles_583,35727,0.002994960050143353
FIT-ALL,ALL,gaia,visualwebbench,,heading_ocr_3,37229,0.0016493924481154178
FIT-ALL,ALL,gaia,visualwebbench,,web_caption_125,37281,0.0009384646291945631
FIT-ALL,ALL,gaia,visualwebbench,,web_caption_127,37283,0.0007184784206474066
FIT-ALL,ALL,gaia,visualwebbench,,web_caption_28,37306,0.0006872804638280841
FIT-ALL,ALL,gaia,visualwebbench,,web_caption_57,37338,0.0006135819728962275
FIT-ALL,ALL,gaia,visualwebbench,,web_caption_66,37348,0.0004914879862681377
FIT-ALL,ALL,swebench,bfcl,live_irrelevance,live_irrelevance_293,1626,-0.0012764097297167066
FIT-ALL,ALL,swebench,ifeval,prompt_level_loose_acc,399,6673,0.0009999409788594034
FIT-ALL,ALL,swebench,ifeval,prompt_level_strict_acc,399,7023,0.0009999409788594036
FIT-ALL,ALL,swebench,livecodebench,codeexecution,343,10437,-0.00021575102083936685
FIT-ALL,ALL,swebench,livecodebench,codegeneration,764,11164,0.0003127714966689908
FIT-ALL,ALL,swebench,mmmu,,validation_Biology_3,27489,0.00025196520492982527
FIT-ALL,ALL,swebench,mmmu,,validation_Pharmacy_20,27984,6.0894164931331935e-06
FIT-ALL,ALL,swebench,planbench,task_2_plan_optimality,207,28735,6.089416493133664e-06
FIT-ALL,ALL,swebench,planbench,task_2_plan_optimality,213,28742,6.089416493132399e-06
FIT-ALL,ALL,swebench,planbench,task_2_plan_optimality,242,28774,0.0003127714966689928
FIT-ALL,ALL,swebench,planbench,task_5_plan_generalization,32,30181,-0.0008086935039475071
FIT-ALL,ALL,swebench,planbench,task_5_plan_generalization,68,30402,-0.0008086935039475071
FIT-ALL,ALL,swebench,planbench,task_5_plan_generalization,70,30405,-0.0008086935039475071
FIT-ALL,ALL,swebench,planbench,task_7_plan_execution,335,30808,0.0009999409788594023
FIT-ALL,ALL,swebench,planbench,task_8_2_full_to_partial,53,31996,6.08941649313349e-06
FIT-ALL,ALL,swebench,planbench,task_8_3_partial_to_full,481,32471,6.08941649313349e-06
FIT-ALL,ALL,swebench,repobench,repobench_xff_python_codebleu,repobench_158,33473,-0.00023384124417602387
FIT-ALL,ALL,swebench,repobench,repobench_xff_python_edit_similarity,repobench_158,33779,1.6749356559071834e-05
FIT-ALL,ALL,swebench,repobench,repobench_xfr_python_codebleu,repobench_241,34392,-0.00022024783662602559
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_1039,35101,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_1113,35180,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_1148,35214,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_1151,35218,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_1156,35222,6.08941649313349e-06
FIT-ALL,ALL,swebench,visualpuzzles,,visualpuzzles_1158,35224,6.08941649313349e-06
