agent_run_id,metadata.exit_status,metadata.instance_id,metadata.model_name_or_path,metadata.model_stats.api_calls,metadata.model_stats.instance_cost,metadata.scores.resolved,metadata.trajectory_format,tag,created_at
88627abd-e30b-4789-987a-c55c01430e5d,LimitsExceeded,django__django-13128,sbv-qwen2-5-coder-32b-instruct,250,0.34575414000000027,0,mini-swe-agent-1,,
a2211c40-07e0-4eb1-8c44-49223454cd90,APIError,astropy__astropy-12907,sbv-qwen2-5-coder-32b-instruct,25,0.015428159999999998,0,mini-swe-agent-1,,
ccf0b19f-8484-4346-aaf7-f4dd759563c9,APIError,astropy__astropy-13033,sbv-qwen2-5-coder-32b-instruct,21,0.00993354,0,mini-swe-agent-1,,
8ca32132-3e21-44a2-8b31-f2de7118b8bc,Submitted,astropy__astropy-13236,sbv-qwen2-5-coder-32b-instruct,23,0.0062276399999999996,0,mini-swe-agent-1,,
eb5b6c38-f058-4e8f-af42-50168ec8d396,Submitted,astropy__astropy-13398,sbv-qwen2-5-coder-32b-instruct,13,0.0056871,0,mini-swe-agent-1,,
0b0158f8-dde6-467c-bc25-c779599c0be7,APIError,astropy__astropy-13453,sbv-qwen2-5-coder-32b-instruct,18,0.00793665,0,mini-swe-agent-1,,
4a60be69-ed64-46be-959c-f4b1045cf6db,APIError,astropy__astropy-13579,sbv-qwen2-5-coder-32b-instruct,23,0.012137489999999997,0,mini-swe-agent-1,,
bb110128-f234-4f23-bdbc-7bf153bdb5f2,APIError,astropy__astropy-13977,sbv-qwen2-5-coder-32b-instruct,19,0.006784619999999998,0,mini-swe-agent-1,,
70fced34-c774-43c7-a0ce-fac5bfacc8f8,RetryError,astropy__astropy-14096,sbv-qwen2-5-coder-32b-instruct,204,0.6445018500000006,0,mini-swe-agent-1,,
da02811a-317e-4580-b407-79d332af681c,APIError,astropy__astropy-14182,sbv-qwen2-5-coder-32b-instruct,61,0.03369855,0,mini-swe-agent-1,,
