agent_run_id,metadata.exit_status,metadata.instance_id,metadata.model_name_or_path,metadata.model_stats.api_calls,metadata.model_stats.instance_cost,metadata.scores.resolved,created_at
597c3121-e4c5-44f2-a7d2-4bf20feadd9f,Submitted,django__django-17087,20250726_mini-v1.0.0_gemini-2.5-pro,24,0.5638259375000001,0,
9b713e30-8a4a-40f8-8b06-ecc87824202d,Submitted,django__django-7530,20250726_mini-v1.0.0_gemini-2.5-pro,11,0.134233125,1,
100c8261-c54c-4392-929f-a3b3653e5b29,Submitted,django__django-9296,20250726_mini-v1.0.0_gemini-2.5-pro,13,0.1462246875,1,
aac7a1c5-38fd-45ff-8ffb-fc1c0cdff0ea,Submitted,sphinx-doc__sphinx-8120,,38,0.27246968750000006,unknown,
88faf3ba-6b9e-4553-b413-64d50da37874,Submitted,django__django-11477,20250726_mini-v1.0.0_gemini-2.5-pro,16,0.315941875,0,
089bce09-1ccf-43cb-9121-403e261349e7,Submitted,pydata__xarray-3151,20250726_mini-v1.0.0_gemini-2.5-pro,13,0.17130875,1,
6b59bc3e-89a7-42a0-bf9f-4b6db511413d,Submitted,pydata__xarray-3305,20250726_mini-v1.0.0_gemini-2.5-pro,82,0.98713375,0,
291fb76a-4b69-4ad2-90cd-c5a71a169d52,Submitted,pydata__xarray-3677,20250726_mini-v1.0.0_gemini-2.5-pro,15,0.1467525,1,
7bd34da0-14b6-444d-b2e7-585d19a747f3,Submitted,pydata__xarray-3993,20250726_mini-v1.0.0_gemini-2.5-pro,14,0.132953125,1,
c9861cd1-dfb4-4cef-aee9-38ef195b4814,Submitted,astropy__astropy-8707,20250726_mini-v1.0.0_gemini-2.5-pro,11,0.06042375,0,
6811a9d9-2158-4796-81a3-0ea5d98fae39,Submitted,django__django-13568,20250726_mini-v1.0.0_gemini-2.5-pro,6,0.2539471875,0,
4456fe93-9061-4c59-b8c9-1229b1fa993e,Submitted,django__django-15380,20250726_mini-v1.0.0_gemini-2.5-pro,17,0.12285125,1,
1516d112-f68e-45b1-82f7-047aae014552,Submitted,django__django-16145,20250726_mini-v1.0.0_gemini-2.5-pro,7,0.06698125,1,
19864658-0a67-4e54-96e8-997b0ea93414,Submitted,pylint-dev__pylint-6386,20250726_mini-v1.0.0_gemini-2.5-pro,29,0.5849625,0,
6e2c2cd7-dd8a-4e68-9c3b-cbacd661f89e,Submitted,sympy__sympy-17630,20250726_mini-v1.0.0_gemini-2.5-pro,16,2.11687625,0,
b44f9b68-93a5-4d2c-a148-37b8be5f76e5,Submitted,sympy__sympy-21612,20250726_mini-v1.0.0_gemini-2.5-pro,45,0.5170428125000002,0,
9237b21a-65e7-4915-b9a6-689dd1fb10cd,Submitted,sympy__sympy-21847,20250726_mini-v1.0.0_gemini-2.5-pro,17,0.3957221875000001,0,
be6bb916-e926-4aeb-9ec2-18a74e3e3b0b,Submitted,sympy__sympy-21930,20250726_mini-v1.0.0_gemini-2.5-pro,66,0.8005621875000003,0,
483146da-766d-47cf-b266-7491247ec269,Submitted,astropy__astropy-12907,20250726_mini-v1.0.0_gemini-2.5-pro,5,0.03828000000000001,1,
925f88b8-16e7-482b-ae49-bfc913e00326,Submitted,astropy__astropy-13033,20250726_mini-v1.0.0_gemini-2.5-pro,13,0.14926875,0,
ab4cf9a2-d77c-4d50-ac27-b439506976d2,Submitted,astropy__astropy-13236,20250726_mini-v1.0.0_gemini-2.5-pro,13,0.16648437500000002,0,
ede867ba-57e0-418f-ac15-40bd4fcd20ea,Submitted,astropy__astropy-13398,20250726_mini-v1.0.0_gemini-2.5-pro,12,0.13437625000000003,0,
fba8a336-c368-4046-854f-05e1a3b966ff,Submitted,astropy__astropy-13453,20250726_mini-v1.0.0_gemini-2.5-pro,39,0.6058984375000002,0,
e497aebe-a816-4ba1-9053-6fa3c6a0c48a,Submitted,astropy__astropy-13579,20250726_mini-v1.0.0_gemini-2.5-pro,54,0.65924125,0,
a9c2325c-a1c0-4d3a-be75-999329bb986f,Submitted,astropy__astropy-13977,20250726_mini-v1.0.0_gemini-2.5-pro,28,0.305610625,0,
28d8f408-e06f-4188-911f-1bf8d7792f01,Submitted,astropy__astropy-14096,20250726_mini-v1.0.0_gemini-2.5-pro,46,0.7026434375000002,1,
d3037c2f-1df8-4a04-81de-3636dd0386d7,Submitted,astropy__astropy-14182,20250726_mini-v1.0.0_gemini-2.5-pro,11,0.26010875,1,
06d001d3-2057-4625-88a3-2ac44a06099b,Submitted,astropy__astropy-14309,20250726_mini-v1.0.0_gemini-2.5-pro,7,0.043666250000000004,1,
5781cd45-169b-465e-b446-c84682839b1f,Submitted,astropy__astropy-14365,20250726_mini-v1.0.0_gemini-2.5-pro,14,0.10498625000000002,0,
c75a06ea-0f9e-49ff-81fa-eb742210312e,Submitted,astropy__astropy-14369,20250726_mini-v1.0.0_gemini-2.5-pro,31,0.7171996875,0,
c081b59e-36f4-4a25-a08b-40b91fe44e03,Submitted,astropy__astropy-14508,20250726_mini-v1.0.0_gemini-2.5-pro,20,0.2421909375,1,
2c899744-15e4-49d4-9614-5fd45dfe8c9d,Submitted,astropy__astropy-14539,20250726_mini-v1.0.0_gemini-2.5-pro,8,0.0765340625,1,
