agent_run_id,metadata.exit_status,metadata.instance_id,metadata.model_stats.api_calls,metadata.model_stats.instance_cost,metadata.scores.resolved,created_at
f03820e3-7565-4a90-a0e9-2e5fd0aea6a4,Submitted,sphinx-doc__sphinx-9230,15,0.087998,unknown,
8d0af9ed-b6df-4499-87a0-283e73cc7c4b,Submitted,sphinx-doc__sphinx-9258,12,0.07043,unknown,
9507a78e-98aa-4569-9855-8ce65ecacab2,Submitted,sphinx-doc__sphinx-9281,19,0.08241600000000002,unknown,
64726bde-c7e0-454b-a869-1ffaa33b1645,Submitted,sphinx-doc__sphinx-9320,8,0.036604000000000005,unknown,
c7e7c50b-8863-4652-82e4-cb70e726f006,Submitted,sphinx-doc__sphinx-9367,6,0.018202,unknown,
0cedc789-3f6f-4dde-a5a0-e764e08fcf97,Submitted,sphinx-doc__sphinx-9461,20,0.09532999999999998,unknown,
de1b8f44-81d5-4c72-a245-3290453a0465,Submitted,sphinx-doc__sphinx-9591,22,0.138812,unknown,
2c53ab6c-5cc3-41ad-8729-931dff17dfe5,Submitted,sphinx-doc__sphinx-9602,11,0.060663999999999996,unknown,
38836307-7700-4588-aae2-68a0539d50b6,Submitted,sphinx-doc__sphinx-9658,16,0.08179000000000002,unknown,
54eb4ca3-3c0d-449b-b390-0c68c53695f7,Submitted,sphinx-doc__sphinx-9673,19,0.105298,unknown,
41ddbc0b-8fdb-43b9-939c-0b9a5913eaab,Submitted,sphinx-doc__sphinx-9698,7,0.036564,unknown,
b34359e3-c52c-4b2b-b37d-e43bfba7caf6,Submitted,sphinx-doc__sphinx-9711,7,0.034592,unknown,
547a37f7-796e-449d-a797-48acb0de6757,Submitted,sympy__sympy-11618,8,0.023742,unknown,
075446aa-b735-43ca-8eed-81fcd4411329,Submitted,sympy__sympy-12096,27,0.15003600000000003,unknown,
087ac3d3-b090-4637-991f-7d41f44b5123,Submitted,sympy__sympy-12419,18,0.07827,unknown,
a10c86c4-5593-4ef1-b61b-32d3b96f38ff,Submitted,sympy__sympy-12481,16,0.071922,unknown,
