agent_run_id,metadata.exit_status,metadata.instance_id,metadata.mini_version,metadata.model_stats.api_calls,metadata.model_stats.instance_cost,metadata.scores.resolved,metadata.trajectory_format,created_at
5b1f9428-8686-4179-8c3d-8213c489af0b,Submitted,django__django-17087,1.7.0,10,0.1599365,unknown,mini-swe-agent-1,
3887f452-9f33-4b6d-9459-7024b7d9ac3b,Submitted,astropy__astropy-12907,1.7.0,12,0.17641575,unknown,mini-swe-agent-1,
a58d44bd-8db4-429f-91c3-a65fac44fe98,Submitted,astropy__astropy-13033,1.7.0,9,0.16590950000000002,unknown,mini-swe-agent-1,
4f90fa4b-09e0-490f-96c7-84db962c2406,Submitted,astropy__astropy-13236,1.7.0,9,0.07723050000000001,unknown,mini-swe-agent-1,
6b82d026-9536-47b9-b88a-78793a0eea36,Submitted,astropy__astropy-13398,1.7.0,25,0.856588,unknown,mini-swe-agent-1,
36be9336-d746-4283-a296-1511f806d8fc,Submitted,astropy__astropy-13453,1.7.0,20,0.5762540000000002,unknown,mini-swe-agent-1,
6df0ba86-620c-45ed-84e6-16c8f56d378e,Submitted,astropy__astropy-13579,1.7.0,12,0.24484975000000003,unknown,mini-swe-agent-1,
3a6a7c7a-fd0d-4ea1-86da-1b0b5b335477,Submitted,astropy__astropy-13977,1.7.0,18,0.41072425,unknown,mini-swe-agent-1,
e44ccf15-ccce-4da3-9d2d-10d97fdc9f7b,Submitted,astropy__astropy-14096,1.7.0,8,0.18483800000000003,unknown,mini-swe-agent-1,
bc33e128-9ae3-46ad-b911-f5cbae2ddbc7,Submitted,astropy__astropy-14182,1.7.0,13,0.19319799999999998,unknown,mini-swe-agent-1,
afcffeee-4c19-49c1-aedf-ebf6f732b144,Submitted,astropy__astropy-14309,1.7.0,8,0.12298375000000002,unknown,mini-swe-agent-1,
3d199253-ed3f-4deb-b465-0c78532c0528,Submitted,astropy__astropy-14365,1.7.0,7,0.16594875,unknown,mini-swe-agent-1,
fa117723-c3f9-4cbd-a99f-dee307b91bb5,Submitted,astropy__astropy-14369,1.7.0,38,1.0996642500000002,unknown,mini-swe-agent-1,
5264fa96-c65e-4d9e-9364-00ec044684b3,Submitted,astropy__astropy-14508,1.7.0,6,0.14752625000000003,unknown,mini-swe-agent-1,
93e1b788-535b-4907-a30e-ff303f1e12ff,Submitted,astropy__astropy-14539,1.7.0,10,0.12699175000000001,unknown,mini-swe-agent-1,
8c1023e1-298e-46a3-87e6-5fe9253d1c05,Submitted,astropy__astropy-14598,1.7.0,33,1.2621507500000002,unknown,mini-swe-agent-1,
9ef2851a-f6c1-4f90-a37f-ca2be0aed0fd,Submitted,astropy__astropy-14995,1.7.0,10,0.1480275,unknown,mini-swe-agent-1,
1fafca9b-4d27-402f-951e-644f95ef94d8,Submitted,astropy__astropy-7166,1.7.0,13,0.214086,unknown,mini-swe-agent-1,
fc1db8c0-e1e9-4f2e-b35e-c122fc9e7e78,Submitted,astropy__astropy-7336,1.7.0,6,0.089615,unknown,mini-swe-agent-1,
3a6dfb7a-7ba8-431a-ac53-42248a9cd4a6,Submitted,astropy__astropy-7606,1.7.0,7,0.07792375,unknown,mini-swe-agent-1,
a7fa30d1-de51-41ec-b6f5-5d096b6bfde8,Submitted,astropy__astropy-7671,1.7.0,16,0.27123275,unknown,mini-swe-agent-1,
cc051c34-2e99-4e17-9839-38f130e16eaf,Submitted,astropy__astropy-8707,1.7.0,23,0.6208075,unknown,mini-swe-agent-1,
cb298390-2c67-440f-83c3-bb52e9e2de28,Submitted,astropy__astropy-8872,1.7.0,7,0.0925175,unknown,mini-swe-agent-1,
ee6f0210-a918-490c-942e-d7f2d04aa8bb,Submitted,django__django-10097,1.7.0,11,0.25843,unknown,mini-swe-agent-1,
5cd77edc-5824-486d-98c5-8b019c9ed25b,Submitted,django__django-10554,1.7.0,32,1.5595230000000002,unknown,mini-swe-agent-1,
b4dd2563-a449-4600-8bd8-305e2899491b,Submitted,django__django-10880,1.7.0,9,0.09781550000000001,unknown,mini-swe-agent-1,
5154723b-a251-4e31-96a1-1d3213706a00,Submitted,django__django-10914,1.7.0,10,0.09312125,unknown,mini-swe-agent-1,
55bf0b38-50de-4533-a8f9-ffdd740ff7bc,Submitted,django__django-10973,1.7.0,8,0.09277750000000001,unknown,mini-swe-agent-1,
88441054-3465-4896-a678-64fc26afbbe9,Submitted,django__django-10999,1.7.0,5,0.05878125000000001,unknown,mini-swe-agent-1,
0763e972-6fc6-4a97-be53-d036c016e544,Submitted,django__django-11066,1.7.0,5,0.03660175,unknown,mini-swe-agent-1,
002963ea-f74d-4dfd-9c1e-6460b4e4d42c,Submitted,django__django-11087,1.7.0,7,0.107709,unknown,mini-swe-agent-1,
039140b1-716b-46e3-96ae-4522be819e07,Submitted,django__django-11095,1.7.0,11,0.15958075,unknown,mini-swe-agent-1,
a5d99477-3c05-40b7-8a01-614e193cdaf6,Submitted,django__django-11099,1.7.0,8,0.0869725,unknown,mini-swe-agent-1,
63faee34-72e2-4374-be0f-83ab771d43e0,Submitted,django__django-11119,1.7.0,12,0.16399999999999998,unknown,mini-swe-agent-1,
f7d320c5-897e-4fad-93c5-046db443ef81,Submitted,django__django-11133,1.7.0,9,0.11897525000000002,unknown,mini-swe-agent-1,
44679186-39a5-4ded-99ee-346d4ba34c4a,Submitted,django__django-11138,1.7.0,22,0.5005700000000001,unknown,mini-swe-agent-1,
b1b53fcc-a4e1-400a-a3bf-b9908e7832c5,Submitted,django__django-11141,1.7.0,10,0.13398025000000002,unknown,mini-swe-agent-1,
9ceabae2-3df2-40c7-ac2d-feedf8368feb,Submitted,django__django-11149,1.7.0,16,0.286986,unknown,mini-swe-agent-1,
5c8cfc27-fca8-4cd2-9a3e-e71a9b4afe89,Submitted,django__django-11163,1.7.0,6,0.060410000000000005,unknown,mini-swe-agent-1,
d41f6477-c00d-4650-9952-b78b6faff571,Submitted,django__django-11179,1.7.0,6,0.07196175,unknown,mini-swe-agent-1,
af82622d-db9a-42b1-9f86-afcf3c9be295,Submitted,django__django-11206,1.7.0,8,0.20342875000000002,unknown,mini-swe-agent-1,
d73a2d34-af9d-4026-bd3f-be46af3afebd,Submitted,django__django-11211,1.7.0,8,0.1414875,unknown,mini-swe-agent-1,
86a81352-fcf3-4bc8-afad-248d3ca75f36,Submitted,django__django-11239,1.7.0,6,0.06328125000000001,unknown,mini-swe-agent-1,
ed8406b8-f182-43bb-b6a0-13cfd08fbd1b,Submitted,django__django-11265,1.7.0,14,0.26378375000000004,unknown,mini-swe-agent-1,
413ddfdf-2a21-4343-87e6-2d72fa269778,Submitted,django__django-11276,1.7.0,6,0.05313,unknown,mini-swe-agent-1,
996216fc-b26e-489e-bef1-98c08d10034e,Submitted,django__django-11292,1.7.0,12,0.22143625,unknown,mini-swe-agent-1,
8713e75c-9325-4441-a22c-b173696ad369,Submitted,django__django-11299,1.7.0,14,0.28061650000000005,unknown,mini-swe-agent-1,
90439fcb-c952-4c4d-a70a-b0262ba16282,Submitted,django__django-11333,1.7.0,11,0.18099700000000002,unknown,mini-swe-agent-1,
5ecab278-3700-4134-b92f-d6750727eb10,Submitted,django__django-11400,1.7.0,17,0.27773500000000007,unknown,mini-swe-agent-1,
618b12c9-27c7-471a-9ada-343795ec248b,Submitted,django__django-11433,1.7.0,11,0.17821475,unknown,mini-swe-agent-1,
7d7c932d-b97c-456d-aa67-7ce53096db24,Submitted,django__django-11451,1.7.0,5,0.05238625,unknown,mini-swe-agent-1,
e36d5338-2d5f-437e-968c-06e8551239df,Submitted,django__django-11477,1.7.0,11,0.12265400000000001,unknown,mini-swe-agent-1,
e732afa2-d78f-45d5-9cd4-6ee99ad5360f,Submitted,django__django-11490,1.7.0,13,0.22836925,unknown,mini-swe-agent-1,
