agent_run_id,metadata.exit_status,metadata.instance_id,metadata.model_name_or_path,metadata.model_stats.api_calls,metadata.model_stats.instance_cost,metadata.scores.resolved,created_at
0e74a699-67bf-4edb-95f9-eef834ee7748,Submitted,django__django-13128,20250726_mini-v1.0.0_claude-sonnet-4-20250514,39,0.32284065,0,
a209c457-c70c-4dd8-9f37-a332071b27ce,Submitted,django__django-13158,20250726_mini-v1.0.0_claude-sonnet-4-20250514,40,0.34701945,0,
87c0e0dc-f207-4c3f-8649-7fc1a90e87da,Submitted,django__django-13195,20250726_mini-v1.0.0_claude-sonnet-4-20250514,28,0.30177315,0,
4efab482-4953-461d-9334-16341abada7c,Submitted,django__django-13212,20250726_mini-v1.0.0_claude-sonnet-4-20250514,44,0.4279401,0,
116ad7d9-a074-4d96-8a95-21f8ef2d4f33,Submitted,django__django-13279,20250726_mini-v1.0.0_claude-sonnet-4-20250514,40,0.3800645999999999,1,
ff7ae46d-7d15-4992-aa82-a6518413341c,Submitted,django__django-13297,20250726_mini-v1.0.0_claude-sonnet-4-20250514,34,0.43994415000000003,1,
0103c7b0-6144-4b9e-a014-4bb5a0a264c9,Submitted,django__django-13315,20250726_mini-v1.0.0_claude-sonnet-4-20250514,59,0.73494015,1,
cd4f22a4-50c4-4df9-811d-af90e1e4356b,Submitted,django__django-13343,20250726_mini-v1.0.0_claude-sonnet-4-20250514,17,0.3928656000000001,1,
6c08dd03-de98-426f-9027-a256632a56d4,Submitted,django__django-13344,20250726_mini-v1.0.0_claude-sonnet-4-20250514,58,0.8481201,0,
6fa17a8e-d8a3-4f5d-9676-a329af11326a,Submitted,django__django-13346,20250726_mini-v1.0.0_claude-sonnet-4-20250514,31,0.3380630999999999,1,
097ba515-1ea4-47d1-8d37-dee06d7a1b93,Submitted,django__django-13363,20250726_mini-v1.0.0_claude-sonnet-4-20250514,16,0.16692899999999997,1,
d478c05c-0e85-4af4-848b-3e8b8bb7033a,Submitted,django__django-13401,20250726_mini-v1.0.0_claude-sonnet-4-20250514,27,0.24148395,1,
