agent_run_id,metadata.exit_status,metadata.instance_id,metadata.mini_version,metadata.model_name_or_path,metadata.model_stats.api_calls,metadata.model_stats.instance_cost,metadata.scores.resolved,metadata.trajectory_format,created_at
6b8aeeb6-c51a-4b06-b0ad-416c2dccd9ae,Submitted,django__django-11477,1.7.0,gpt-oss-120b-output,34,0.038882200000000006,0,mini-swe-agent-1,
bc1cbf3c-634c-451c-9df7-b5999110bf4c,Submitted,django__django-11490,1.7.0,gpt-oss-120b-output,74,0.1678908,0,mini-swe-agent-1,
dcfd68be-d060-4b02-b880-070dc26fe08c,Submitted,django__django-11532,1.7.0,gpt-oss-120b-output,23,0.029555999999999995,0,mini-swe-agent-1,
e1d52a67-3a8c-46a1-b829-486387aa4c52,Submitted,django__django-11551,1.7.0,gpt-oss-120b-output,29,0.0463674,0,mini-swe-agent-1,
08b5e475-fd44-43c5-8085-06ab1584fb2a,Submitted,django__django-11555,1.7.0,gpt-oss-120b-output,28,0.043470100000000005,0,mini-swe-agent-1,
08bd4f76-0325-4ba2-8fd5-5c582cc0f9c6,Submitted,django__django-11603,1.7.0,gpt-oss-120b-output,19,0.016294999999999997,1,mini-swe-agent-1,
e260bf8a-4a9e-4450-9b7d-e5ae51ca04ac,Submitted,django__django-11728,1.7.0,gpt-oss-120b-output,43,0.048745300000000005,0,mini-swe-agent-1,
2c3945b7-b86e-44ab-b3fc-15f85294b6b3,Submitted,django__django-11734,1.7.0,gpt-oss-120b-output,13,0.012945499999999999,0,mini-swe-agent-1,
7adff15e-157f-48b1-bb03-42dc8b106cda,Submitted,django__django-11740,1.7.0,gpt-oss-120b-output,17,0.0196656,0,mini-swe-agent-1,
82ef0946-994f-490f-b8e6-38f96bd27699,Submitted,django__django-11749,1.7.0,gpt-oss-120b-output,35,0.058318,1,mini-swe-agent-1,
1eac66de-0d56-44c7-986a-37236600bd68,Submitted,django__django-11790,1.7.0,gpt-oss-120b-output,20,0.0169934,0,mini-swe-agent-1,
8ea22e8d-d228-495f-a734-35e8b87c4bf2,Submitted,django__django-11815,1.7.0,gpt-oss-120b-output,43,0.0671966,0,mini-swe-agent-1,
816bd79d-e61e-43f7-9b99-21e5af9a777a,Submitted,django__django-13128,1.7.0,gpt-oss-120b-output,12,0.011615499999999997,0,mini-swe-agent-1,
6f78fa2a-bbf4-4edd-b017-9325d9ba1c9b,Submitted,django__django-13158,1.7.0,gpt-oss-120b-output,33,0.050243699999999995,0,mini-swe-agent-1,
b21439c7-0501-443f-9987-a616258e1f64,Submitted,django__django-13195,1.7.0,gpt-oss-120b-output,48,0.08578730000000001,0,mini-swe-agent-1,
9ac62a77-4672-41db-8fa9-8206220fa714,Submitted,django__django-13212,1.7.0,gpt-oss-120b-output,25,0.0320088,0,mini-swe-agent-1,
0d2f87fc-7774-4c30-9763-346b3f2df41d,Submitted,django__django-13279,1.7.0,gpt-oss-120b-output,42,0.08499219999999999,0,mini-swe-agent-1,
be7bd89a-92ff-4df7-a365-2d9d1ad8366a,Submitted,django__django-13297,1.7.0,gpt-oss-120b-output,26,0.039145700000000005,0,mini-swe-agent-1,
c7351ad0-fc36-4e5b-a083-1391a111a4ba,Submitted,django__django-13315,1.7.0,gpt-oss-120b-output,25,0.027928199999999997,1,mini-swe-agent-1,
275b37c5-a6c0-4720-8f8b-50df8b161b93,Submitted,django__django-13343,1.7.0,gpt-oss-120b-output,20,0.026013299999999993,0,mini-swe-agent-1,
b6e6c447-001c-44c7-aa77-040af92c922a,Submitted,django__django-13344,1.7.0,gpt-oss-120b-output,23,0.04495099999999999,0,mini-swe-agent-1,
cd3bf22b-3645-4287-8d29-222388ac3448,Submitted,django__django-13346,1.7.0,gpt-oss-120b-output,58,0.12821259999999998,0,mini-swe-agent-1,
da8a52e4-d3e2-4f2b-bb10-840a901344b6,Submitted,django__django-13363,1.7.0,gpt-oss-120b-output,14,0.017817599999999996,0,mini-swe-agent-1,
16b09065-8276-433f-a3cf-d96853fd8777,Submitted,django__django-13401,1.7.0,gpt-oss-120b-output,3,0.0038217999999999998,0,mini-swe-agent-1,
83546cbe-0d6a-4195-93f3-94c2048afe69,Submitted,django__django-13406,1.7.0,gpt-oss-120b-output,12,0.016255899999999997,0,mini-swe-agent-1,
8c2bce40-dd52-43c1-b124-c0962b0ed6c4,Submitted,django__django-13410,1.7.0,gpt-oss-120b-output,8,0.0060704999999999995,0,mini-swe-agent-1,
7e75cd5a-e862-4f1b-afec-1d1b15269657,Submitted,django__django-13417,1.7.0,gpt-oss-120b-output,5,0.0051506,0,mini-swe-agent-1,
181d5345-66b5-4264-b1ba-b3d5615d85a6,Submitted,django__django-13449,1.7.0,gpt-oss-120b-output,14,0.0169004,1,mini-swe-agent-1,
7ceaa813-9669-40ff-ad14-c7a99938cf05,Submitted,django__django-13512,1.7.0,gpt-oss-120b-output,28,0.030974999999999996,0,mini-swe-agent-1,
87b6aad3-3239-4952-926f-d2243f46b0b9,Submitted,pydata__xarray-3151,1.7.0,gpt-oss-120b-output,53,0.12433270000000002,0,mini-swe-agent-1,
05135b73-c654-48cf-8d72-857d638a0dde,Submitted,pydata__xarray-3305,1.7.0,gpt-oss-120b-output,29,0.03794789999999999,0,mini-swe-agent-1,
7b699384-c8dc-4839-8891-f45c1d82ad8d,Submitted,pydata__xarray-3677,1.7.0,gpt-oss-120b-output,13,0.0167182,0,mini-swe-agent-1,
14c298d3-6ca2-4b11-b698-3e30f65fb42b,Submitted,pydata__xarray-3993,1.7.0,gpt-oss-120b-output,14,0.010119799999999998,0,mini-swe-agent-1,
3e3324dd-872d-44c6-8a19-a4691d15a32d,Submitted,pydata__xarray-4075,1.7.0,gpt-oss-120b-output,17,0.0124482,1,mini-swe-agent-1,
08ba5887-e273-4b9f-8b42-12de7be12466,Submitted,pydata__xarray-4094,1.7.0,gpt-oss-120b-output,65,0.1532834,1,mini-swe-agent-1,
90725f42-0769-41f8-a05f-10fef2bfdd86,Submitted,pydata__xarray-4356,1.7.0,gpt-oss-120b-output,13,0.012833100000000002,1,mini-swe-agent-1,
7e45258e-34d4-47a9-8256-529d9058797b,Submitted,pydata__xarray-4629,1.7.0,gpt-oss-120b-output,24,0.0288845,1,mini-swe-agent-1,
3804ba95-bdf3-4883-87d3-2586d61062db,Submitted,pydata__xarray-4687,1.7.0,,78,0.17487479999999994,unknown,mini-swe-agent-1,
e1881bea-28da-4b90-8d58-ef815462e0b5,Submitted,pydata__xarray-4695,1.7.0,gpt-oss-120b-output,39,0.06722659999999998,0,mini-swe-agent-1,
5e77f2c6-01e7-4603-8566-79256bddc2a0,Submitted,pydata__xarray-4966,1.7.0,gpt-oss-120b-output,15,0.0157535,0,mini-swe-agent-1,
6044cc6e-7ef5-419f-8540-4a475ff1ec8b,Submitted,sympy__sympy-15599,1.7.0,gpt-oss-120b-output,21,0.024739399999999998,0,mini-swe-agent-1,
6d508e33-4cf4-40f2-9322-194f772474e9,Submitted,sympy__sympy-15809,1.7.0,gpt-oss-120b-output,22,0.0245192,1,mini-swe-agent-1,
a38ac694-7df7-40eb-bd09-05c061710470,Submitted,sympy__sympy-15875,1.7.0,gpt-oss-120b-output,45,0.0815235,unknown,mini-swe-agent-1,
db13aeed-453c-47bf-9b72-fc130c1fb70f,Submitted,sympy__sympy-15976,1.7.0,gpt-oss-120b-output,28,0.0485522,0,mini-swe-agent-1,
ee0469b2-603e-4d85-bf38-ea975cd04f2f,Submitted,sympy__sympy-16450,1.7.0,gpt-oss-120b-output,21,0.018193,1,mini-swe-agent-1,
c99c2f5b-b550-4654-8e65-e3d3fd9b2c92,Submitted,sympy__sympy-16597,1.7.0,gpt-oss-120b-output,50,0.08270889999999996,0,mini-swe-agent-1,
e272b583-39b7-4db1-bfcd-40ee72bb7cae,Submitted,sympy__sympy-16766,1.7.0,gpt-oss-120b-output,9,0.0074221,1,mini-swe-agent-1,
b9b8ccfb-bc62-4efe-894b-375fe44f3bc5,Submitted,sympy__sympy-16792,1.7.0,gpt-oss-120b-output,8,0.011020199999999999,0,mini-swe-agent-1,
21b065b2-f718-4397-8f5c-0415fd840e43,Submitted,sympy__sympy-16886,1.7.0,gpt-oss-120b-output,10,0.007746599999999999,1,mini-swe-agent-1,
f40ff452-1fce-4fd1-ad97-0645ed4db3f7,Submitted,sympy__sympy-17139,1.7.0,gpt-oss-120b-output,12,0.0097474,1,mini-swe-agent-1,
93f07856-7e32-485e-8c03-c82baeb276f7,Submitted,astropy__astropy-12907,1.7.0,gpt-oss-120b-output,25,0.0377205,0,mini-swe-agent-1,
3f898b7b-dd68-4f7d-b3d7-f15408bb4b72,Submitted,astropy__astropy-13033,1.7.0,gpt-oss-120b-output,15,0.0167168,0,mini-swe-agent-1,
9bcdfccd-6524-4983-87fa-a4fb6f05d3cf,Submitted,astropy__astropy-13236,1.7.0,gpt-oss-120b-output,25,0.030250400000000004,0,mini-swe-agent-1,
a1cd22b4-95ff-4692-ac82-254f1a046be5,Submitted,astropy__astropy-13398,1.7.0,gpt-oss-120b-output,28,0.047364799999999985,0,mini-swe-agent-1,
a6a0a9b9-7045-48ac-ac73-ad876b5bd8c2,Submitted,astropy__astropy-13453,1.7.0,gpt-oss-120b-output,122,0.5213159999999999,0,mini-swe-agent-1,
