agent_run_id,metadata.scores.resolved,metadata.scores,metadata.instance_id,metadata.model_name_or_path
288d21a0-e401-48fa-a165-c16b71bf2b7d,1,"{""resolved"":1}",astropy__astropy-13579,20250802_mini-v1.0.0_claude-4-opus-20250514
d826c9f2-d852-4734-bc02-f11fd17af344,0,"{""resolved"":0}",astropy__astropy-13977,20250802_mini-v1.0.0_claude-4-opus-20250514
01c03814-8039-41e2-adb5-202b99112829,1,"{""resolved"":1}",astropy__astropy-14096,20250802_mini-v1.0.0_claude-4-opus-20250514
f7f69a29-69d2-4a89-969c-395119501477,0,"{""resolved"":0}",astropy__astropy-14182,20250802_mini-v1.0.0_claude-4-opus-20250514
b23d4b50-ad94-4add-8a9d-bdf13ac3d5f2,1,"{""resolved"":1}",astropy__astropy-14309,20250802_mini-v1.0.0_claude-4-opus-20250514
2e1dbb7b-bf43-47f5-b5be-9ccb26c8b340,0,"{""resolved"":0}",astropy__astropy-14365,20250802_mini-v1.0.0_claude-4-opus-20250514
790c8528-f948-4ff3-a304-6d1eb0be917c,1,"{""resolved"":1}",astropy__astropy-14369,20250802_mini-v1.0.0_claude-4-opus-20250514
17119ac9-7af4-4553-a6f0-5e77c399d988,1,"{""resolved"":1}",astropy__astropy-14508,20250802_mini-v1.0.0_claude-4-opus-20250514
e7abb538-1861-4ea4-bf6a-92b35bdca42a,1,"{""resolved"":1}",astropy__astropy-14539,20250802_mini-v1.0.0_claude-4-opus-20250514
330ff773-a95c-479d-b6d3-91df8fc1d2f2,0,"{""resolved"":0}",astropy__astropy-14598,20250802_mini-v1.0.0_claude-4-opus-20250514
2cafded4-552b-40b7-8a32-6f7cb10fe0ac,1,"{""resolved"":1}",astropy__astropy-14995,20250802_mini-v1.0.0_claude-4-opus-20250514
dd40a319-8ad3-424f-a2ea-4537fa957b3c,1,"{""resolved"":1}",astropy__astropy-7166,20250802_mini-v1.0.0_claude-4-opus-20250514
46630adf-72be-4ea1-bd41-122621675375,1,"{""resolved"":1}",astropy__astropy-7336,20250802_mini-v1.0.0_claude-4-opus-20250514
bd769a59-829e-42cc-831b-8b06373d77aa,0,"{""resolved"":0}",astropy__astropy-7606,20250802_mini-v1.0.0_claude-4-opus-20250514
081780f9-1941-43d0-a5f6-6ca54617903e,1,"{""resolved"":1}",astropy__astropy-7671,20250802_mini-v1.0.0_claude-4-opus-20250514
3cdb3532-f196-425c-8360-9b338837c00c,0,"{""resolved"":0}",astropy__astropy-8707,20250802_mini-v1.0.0_claude-4-opus-20250514
