agent_run_id,metadata.exit_status,metadata.instance_id,metadata.model_name_or_path,metadata.model_stats.api_calls,metadata.model_stats.instance_cost,metadata.scores.resolved,metadata.trajectory_format,created_at
990021ea-03c9-4a35-a937-cc7fb06813ee,Submitted,astropy__astropy-12907,sbv-qwen3-coder-together-again,14,0.016588999999999996,1,mini-swe-agent-1,
fb4a5a68-97f8-4b2c-9dd5-1d96a6994937,Submitted,astropy__astropy-13033,sbv-qwen3-coder-together-again,115,0.372838,0,mini-swe-agent-1,
a5c27bf1-a3d9-4851-ab34-cc36407ed370,Submitted,astropy__astropy-13236,sbv-qwen3-coder-together-again,69,0.20874140000000002,0,mini-swe-agent-1,
1fbb2016-6401-4517-848b-5af898283665,Submitted,astropy__astropy-13398,sbv-qwen3-coder-together-again,65,0.41849220000000004,0,mini-swe-agent-1,
67acf3a0-4401-4ddb-aeda-15c2d2a353b1,Submitted,astropy__astropy-13453,sbv-qwen3-coder-together-again,43,0.14829499999999998,1,mini-swe-agent-1,
44ceb420-8bb6-4c32-ae44-9e0ae79e7b51,Submitted,astropy__astropy-13579,sbv-qwen3-coder-together-again,48,0.14838659999999998,1,mini-swe-agent-1,
fb043a89-cd70-4e11-8b0a-a637d8c5802f,Submitted,astropy__astropy-13977,sbv-qwen3-coder-together-again,56,0.12196440000000001,0,mini-swe-agent-1,
4fbe3fa9-cdce-4f8b-90b1-423c5d7d3f5b,Submitted,astropy__astropy-14096,sbv-qwen3-coder-together-again,63,0.12549880000000002,1,mini-swe-agent-1,
8b1bfd04-ffdb-47cb-af53-994bd2ba9fef,Submitted,astropy__astropy-14182,sbv-qwen3-coder-together-again,59,0.19426119999999997,0,mini-swe-agent-1,
9ba8a655-532a-468c-8105-7ee4b895b83a,Submitted,astropy__astropy-14309,sbv-qwen3-coder-together-again,29,0.0385206,1,mini-swe-agent-1,
c42d58cc-8b38-463c-8dfa-9c2c93984039,Submitted,astropy__astropy-14365,sbv-qwen3-coder-together-again,57,0.16236620000000002,0,mini-swe-agent-1,
c5d316be-b805-4104-847e-0c7480e2fb61,Submitted,astropy__astropy-14369,sbv-qwen3-coder-together-again,138,0.597805,0,mini-swe-agent-1,
7b5d8092-755d-438d-85c9-8310f62cfafc,Submitted,astropy__astropy-14508,sbv-qwen3-coder-together-again,46,0.0711156,1,mini-swe-agent-1,
a8a085a3-2a13-4c2f-b1c4-cba50cabeaca,Submitted,astropy__astropy-14539,sbv-qwen3-coder-together-again,25,0.068686,1,mini-swe-agent-1,
d3a2156c-dc10-4c93-be7d-c6e51d505f42,Submitted,astropy__astropy-14598,sbv-qwen3-coder-together-again,194,1.2136784000000005,0,mini-swe-agent-1,
5ca0dadf-38c1-4e83-b022-6cba2e3fdca0,Submitted,astropy__astropy-14995,sbv-qwen3-coder-together-again,33,0.054058400000000006,1,mini-swe-agent-1,
fea0335f-c596-44c5-b703-6f39e4827d58,LimitsExceeded,astropy__astropy-7166,sbv-qwen3-coder-together-again,250,1.2123023999999996,0,mini-swe-agent-1,
c48d9326-8740-4286-87cc-acbd6949f3a4,Submitted,astropy__astropy-7336,sbv-qwen3-coder-together-again,66,0.16558839999999997,1,mini-swe-agent-1,
2be650e5-e916-46e6-92e5-e72f538dba29,Submitted,astropy__astropy-7606,sbv-qwen3-coder-together-again,33,0.04235919999999999,0,mini-swe-agent-1,
8ffe485b-be7c-47ad-b08f-193bc9c43bd7,Submitted,astropy__astropy-7671,sbv-qwen3-coder-together-again,20,0.028793999999999997,1,mini-swe-agent-1,
c747ed7a-8ebb-4697-b62a-eff165d46e1b,LimitsExceeded,astropy__astropy-8707,sbv-qwen3-coder-together-again,250,0.9775018000000002,0,mini-swe-agent-1,
e956135e-aba5-4eef-9160-378e3066765f,Submitted,astropy__astropy-8872,sbv-qwen3-coder-together-again,44,0.07888679999999999,0,mini-swe-agent-1,
9f22a099-922f-482d-aeda-e5759061cc11,Submitted,django__django-10097,sbv-qwen3-coder-together-again,50,0.14565179999999997,0,mini-swe-agent-1,
cf5fd70a-a9c4-43a7-9b51-54ff291cbb5f,Submitted,django__django-10554,sbv-qwen3-coder-together-again,50,0.1465828,0,mini-swe-agent-1,
87c281bd-93a8-4554-8e4c-3d2dabba9206,Submitted,django__django-10880,sbv-qwen3-coder-together-again,26,0.0348634,1,mini-swe-agent-1,
314ab009-a544-4c12-84dd-0f95e81cbd1d,Submitted,django__django-10914,sbv-qwen3-coder-together-again,29,0.042445199999999995,1,mini-swe-agent-1,
71d1d1b1-aa8e-4605-9a13-61fbb94d379b,Submitted,django__django-10973,sbv-qwen3-coder-together-again,10,0.006691,1,mini-swe-agent-1,
442e6333-c0a3-43ab-8ae7-02fe6a3a37ea,Submitted,django__django-10999,sbv-qwen3-coder-together-again,34,0.061992399999999996,0,mini-swe-agent-1,
85edc548-66e6-49f2-844f-3d9bb861820f,Submitted,django__django-11066,sbv-qwen3-coder-together-again,6,0.0032977999999999996,1,mini-swe-agent-1,
5829730b-153e-44fe-a5e9-579507781dbd,Submitted,django__django-11087,sbv-qwen3-coder-together-again,41,0.09834919999999998,0,mini-swe-agent-1,
046c2584-531b-4903-b4ab-50bcbf5ba802,Submitted,django__django-11095,sbv-qwen3-coder-together-again,10,0.008378,1,mini-swe-agent-1,
e7fe6659-bf61-40c7-8288-4bf10814e53e,Submitted,django__django-11099,sbv-qwen3-coder-together-again,14,0.008979,1,mini-swe-agent-1,
e0fd58ab-e15d-4c2f-a400-dd466ddc1f0f,Submitted,django__django-11119,sbv-qwen3-coder-together-again,16,0.0133762,1,mini-swe-agent-1,
7bdf3f88-8339-483a-8ce7-52204c3d9f91,Submitted,django__django-11133,sbv-qwen3-coder-together-again,36,0.05557999999999999,1,mini-swe-agent-1,
27fb0bf8-ce17-4448-ac30-d8955db36e90,Submitted,django__django-11138,sbv-qwen3-coder-together-again,46,0.088162,0,mini-swe-agent-1,
983dbff6-b244-4d7c-a410-71c462988f39,Submitted,django__django-11141,sbv-qwen3-coder-together-again,23,0.0282762,0,mini-swe-agent-1,
468df762-946c-412a-88bf-9a0ec9c48353,Submitted,django__django-11149,sbv-qwen3-coder-together-again,45,0.1348798,0,mini-swe-agent-1,
1cdb6fbb-0b47-4eb2-aa88-cd72aa5e911f,Submitted,django__django-11163,sbv-qwen3-coder-together-again,12,0.0077843999999999995,1,mini-swe-agent-1,
597becbb-21f1-4ba4-80c4-51df60f3a8d9,Submitted,django__django-11179,sbv-qwen3-coder-together-again,35,0.042224,1,mini-swe-agent-1,
a3fb1650-cf41-4ba7-9275-fe84559ed6ad,Submitted,django__django-11206,sbv-qwen3-coder-together-again,20,0.0228848,1,mini-swe-agent-1,
45a0d6ab-b581-4abc-95f3-9e12021fafef,Submitted,django__django-11211,sbv-qwen3-coder-together-again,78,0.277789,0,mini-swe-agent-1,
a29fb78d-27e5-40f3-b4d3-afff525473f7,Submitted,django__django-11239,sbv-qwen3-coder-together-again,23,0.0388052,0,mini-swe-agent-1,
93bdecca-d6cf-4dfe-a797-55af5e5f68a9,Submitted,django__django-11265,sbv-qwen3-coder-together-again,50,0.10936139999999996,0,mini-swe-agent-1,
2a0b9510-72d5-4d62-a35f-8e78d041eea1,Submitted,django__django-11276,sbv-qwen3-coder-together-again,32,0.0497104,1,mini-swe-agent-1,
b425986b-d1f4-43d5-8cc8-2c0636dcbf9d,Submitted,django__django-11292,sbv-qwen3-coder-together-again,29,0.0342328,1,mini-swe-agent-1,
b9848412-3e66-4087-9d9d-f79c22c14bdf,Submitted,django__django-11299,sbv-qwen3-coder-together-again,39,0.09053119999999998,1,mini-swe-agent-1,
053040fd-68f4-48a5-9e86-8fe28f2c7c73,Submitted,django__django-11333,sbv-qwen3-coder-together-again,39,0.060514599999999995,0,mini-swe-agent-1,
c8d6bd81-cb38-46f6-b09d-1855367fc413,LimitsExceeded,django__django-11400,sbv-qwen3-coder-together-again,250,1.4542215999999997,0,mini-swe-agent-1,
1b520343-858e-4141-a3fe-a119243906f3,Submitted,django__django-11433,sbv-qwen3-coder-together-again,55,0.11872559999999997,0,mini-swe-agent-1,
952ed591-78a3-4319-9b26-fe189e9bba08,Submitted,django__django-11451,sbv-qwen3-coder-together-again,29,0.05170839999999999,0,mini-swe-agent-1,
a9cbef15-9288-4baf-a6c3-014cdc815c43,Submitted,django__django-11477,sbv-qwen3-coder-together-again,46,0.11105700000000002,0,mini-swe-agent-1,
19abe9a6-1e81-48e5-89a7-021efb063889,Submitted,django__django-11490,sbv-qwen3-coder-together-again,81,0.24290060000000005,1,mini-swe-agent-1,
eb41c0bc-dc05-4bf7-85c5-46eabbd23f71,Submitted,django__django-11532,sbv-qwen3-coder-together-again,43,0.06485919999999999,0,mini-swe-agent-1,
6bd1fea7-c31e-434b-80be-1b6e5155d545,Submitted,django__django-11551,sbv-qwen3-coder-together-again,37,0.09327379999999999,1,mini-swe-agent-1,
6b09a562-2137-4e70-ab64-9140c9bfde82,Submitted,django__django-11555,sbv-qwen3-coder-together-again,40,0.0621756,0,mini-swe-agent-1,
d1d58f2d-76a4-43e9-9cbc-f1c54148fadd,Submitted,django__django-11603,sbv-qwen3-coder-together-again,12,0.009594,1,mini-swe-agent-1,
f9ac6de2-0cd3-4042-9252-169d2c8ce769,Submitted,django__django-11728,sbv-qwen3-coder-together-again,111,0.39827780000000007,1,mini-swe-agent-1,
ef6265a6-1c7a-4b34-a501-b2b547e59fb9,Submitted,django__django-11734,sbv-qwen3-coder-together-again,63,0.1546206,0,mini-swe-agent-1,
d277e66a-c5e7-495b-ad9b-e252b145a73a,Submitted,django__django-11740,sbv-qwen3-coder-together-again,32,0.061271999999999986,0,mini-swe-agent-1,
57cb493d-8bbf-4b12-8859-8ceaf6e58d00,Submitted,django__django-11749,sbv-qwen3-coder-together-again,55,0.08810539999999999,1,mini-swe-agent-1,
85873d7d-9779-4388-8714-817db666145d,Submitted,django__django-11790,sbv-qwen3-coder-together-again,37,0.071252,0,mini-swe-agent-1,
c368f090-15ae-4e85-9ca4-6f27a40c50de,Submitted,django__django-11815,sbv-qwen3-coder-together-again,43,0.08978719999999997,0,mini-swe-agent-1,
f43b9080-c54f-4ab7-8817-a8ed4edacfad,Submitted,django__django-11820,sbv-qwen3-coder-together-again,46,0.09132179999999998,0,mini-swe-agent-1,
31cba170-89e3-4b63-b9d6-29116ac79d86,Submitted,django__django-11848,sbv-qwen3-coder-together-again,40,0.0631916,1,mini-swe-agent-1,
6b6a9920-4c94-4b8e-9307-fce8c843f2b6,Submitted,django__django-11880,sbv-qwen3-coder-together-again,21,0.020798399999999998,1,mini-swe-agent-1,
0e2e3109-b985-45eb-a696-17ef8881e952,Submitted,django__django-11885,sbv-qwen3-coder-together-again,64,0.17039300000000004,0,mini-swe-agent-1,
e69043de-b41c-4289-bcbd-62afa18966f3,Submitted,django__django-11951,sbv-qwen3-coder-together-again,22,0.0326276,0,mini-swe-agent-1,
94c66ae6-caaa-4a78-b280-351ff573d2af,Submitted,django__django-11964,sbv-qwen3-coder-together-again,66,0.22750600000000004,0,mini-swe-agent-1,
5e120e16-e680-4698-a95b-31de24d91fa9,Submitted,django__django-11999,sbv-qwen3-coder-together-again,34,0.04732500000000001,1,mini-swe-agent-1,
1939588c-ea1b-4e2a-8287-9ff12b2ca081,Submitted,django__django-12039,sbv-qwen3-coder-together-again,104,0.4048038,1,mini-swe-agent-1,
b2b5a316-1223-4265-84a8-dfccc62e90c5,Submitted,django__django-12050,sbv-qwen3-coder-together-again,31,0.04065539999999999,1,mini-swe-agent-1,
2dd3c4a8-3a7d-40f6-b8ea-38adcbdb0b00,Submitted,django__django-12125,sbv-qwen3-coder-together-again,185,0.8566113999999997,0,mini-swe-agent-1,
a366d0eb-d058-40f3-9d6a-a9c47c5e5905,Submitted,django__django-12143,sbv-qwen3-coder-together-again,15,0.013300399999999999,1,mini-swe-agent-1,
4052a278-4369-4ec3-afbf-2e2ccc5cbd8e,Submitted,django__django-12155,sbv-qwen3-coder-together-again,67,0.16288939999999996,1,mini-swe-agent-1,
3b9598ee-1896-4f00-b35f-a52ef85ffd51,Submitted,django__django-12193,sbv-qwen3-coder-together-again,20,0.0283388,0,mini-swe-agent-1,
15388a6b-2c06-4ebd-96f3-fb0e416d181a,Submitted,django__django-12209,sbv-qwen3-coder-together-again,33,0.0772174,0,mini-swe-agent-1,
67c6e93b-5d8d-49e5-ac5d-699faf6096c1,Submitted,django__django-12262,sbv-qwen3-coder-together-again,129,0.6651565999999997,0,mini-swe-agent-1,
ab65d2ea-7926-499b-a802-00264756ee3f,Submitted,django__django-12273,sbv-qwen3-coder-together-again,164,0.8915296,0,mini-swe-agent-1,
ea0b7bc7-f7c3-44a4-93d2-a5dc248c3a08,Submitted,django__django-12276,sbv-qwen3-coder-together-again,76,0.1914546,0,mini-swe-agent-1,
c087b4e7-d723-4c62-aeda-f604c539c716,Submitted,django__django-12304,sbv-qwen3-coder-together-again,9,0.009016599999999998,0,mini-swe-agent-1,
0db1a954-d15a-41ea-8064-66bf8ca628d3,Submitted,django__django-12308,sbv-qwen3-coder-together-again,41,0.05595199999999999,0,mini-swe-agent-1,
