agent_run_id,metadata.exit_status,metadata.instance_id,metadata.mini_version,metadata.model_stats.api_calls,metadata.model_stats.instance_cost,metadata.scores.resolved,metadata.trajectory_format,created_at
f41acd7c-f5bd-428a-8346-dc7df3131e8c,Submitted,django__django-12858,1.7.0,8,0.00855658,unknown,mini-swe-agent-1,
e3c3a6f7-5278-4c2d-bd20-05baa7c4d9b0,Submitted,django__django-12965,1.7.0,9,0.00814755,unknown,mini-swe-agent-1,
cae06008-a441-4790-b309-62802444d9d3,Submitted,django__django-13012,1.7.0,15,0.00853332,unknown,mini-swe-agent-1,
690c8fe3-0673-45dd-9b24-be8551aee1e2,Submitted,django__django-13023,1.7.0,11,0.00649418,unknown,mini-swe-agent-1,
170c4810-05cb-4792-aa40-8b13a11203f9,Submitted,django__django-13028,1.7.0,9,0.00694815,unknown,mini-swe-agent-1,
118a84af-18b6-4882-9825-075e665c5b61,Submitted,django__django-13810,1.7.0,9,0.00692662,unknown,mini-swe-agent-1,
871b9b63-b9f2-4c25-9f7f-50117bf7d14b,Submitted,django__django-14580,1.7.0,8,0.00692937,unknown,mini-swe-agent-1,
5ed25990-45c3-43c6-951e-90c5df217587,Submitted,django__django-15252,1.7.0,20,0.01634818,unknown,mini-swe-agent-1,
70636d5a-d566-424b-9f07-dbaa0ee1eb84,Submitted,django__django-15268,1.7.0,26,0.02179929,unknown,mini-swe-agent-1,
8b9e9ba8-3837-4133-99b6-0ee5c9d9ea08,Submitted,django__django-16333,1.7.0,7,0.00695898,unknown,mini-swe-agent-1,
5691eb95-3dd4-44e0-b58c-0f47da384f8f,Submitted,django__django-16429,1.7.0,19,0.01536185,unknown,mini-swe-agent-1,
778933cc-05ec-4366-a385-c7066469991b,Submitted,django__django-16454,1.7.0,7,0.00642116,unknown,mini-swe-agent-1,
afb06c32-de32-4a07-9775-504e9679d94e,Submitted,django__django-13128,1.7.0,21,0.015237369999999995,unknown,mini-swe-agent-1,
869b6fa0-1d7b-43b7-8b25-87410a112353,Submitted,django__django-13158,1.7.0,41,0.026309530000000005,unknown,mini-swe-agent-1,
