agent_run_id,metadata.exit_status,metadata.instance_id,metadata.mini_version,metadata.model_name_or_path,metadata.model_stats.api_calls,metadata.model_stats.instance_cost,metadata.scores.resolved,metadata.trajectory_format,tag,created_at
30fbe2fe-0721-4612-9193-98416d081208,Submitted,django__django-15572,1.7.0,kimi-k2-instruct-output,17,0.078872,1,mini-swe-agent-1,,
d2b8a582-ba9a-4239-9008-d59c2478f85f,Submitted,django__django-15629,1.7.0,kimi-k2-instruct-output,39,0.6939170000000001,0,mini-swe-agent-1,,
54585490-3936-4500-9167-aaba92880f27,Submitted,django__django-15695,1.7.0,kimi-k2-instruct-output,23,0.178923,0,mini-swe-agent-1,,
bac1cfe9-05fb-4e2d-8003-0c967b70ac31,Submitted,django__django-15731,1.7.0,kimi-k2-instruct-output,3,0.012029,0,mini-swe-agent-1,,
5c092b4a-109b-4e5b-a677-6d93a65ce269,Submitted,django__django-15732,1.7.0,kimi-k2-instruct-output,28,0.3343399999999999,0,mini-swe-agent-1,,
d907cf75-cb72-4c07-98cd-862468f5b2f5,Submitted,astropy__astropy-12907,1.7.0,kimi-k2-instruct-output,30,0.318335,1,mini-swe-agent-1,,
5fa3634a-61bb-4894-b512-49dacc85358f,Submitted,astropy__astropy-13033,1.7.0,kimi-k2-instruct-output,26,0.207588,0,mini-swe-agent-1,,
6b7423bf-1e00-4659-95a2-52e9d0fd682b,Submitted,astropy__astropy-13236,1.7.0,kimi-k2-instruct-output,27,0.16433999999999999,0,mini-swe-agent-1,,
eff749ea-2b15-42be-9c49-899d777be441,Submitted,astropy__astropy-13398,1.7.0,kimi-k2-instruct-output,27,0.30553699999999995,0,mini-swe-agent-1,,
92f1b9c3-8037-43cd-ae65-e3c3a4552754,Submitted,astropy__astropy-13453,1.7.0,kimi-k2-instruct-output,40,0.5850639999999998,0,mini-swe-agent-1,,
ce7e10a4-6662-4ace-9665-c474e20f9ff3,Submitted,astropy__astropy-13579,1.7.0,kimi-k2-instruct-output,36,0.462573,1,mini-swe-agent-1,,
0d1b2f26-5a01-4f71-9d97-254d5ddb2b39,Submitted,astropy__astropy-13977,1.7.0,kimi-k2-instruct-output,44,0.40375199999999994,0,mini-swe-agent-1,,
3ff8b9b1-0957-48af-9a23-68eff543f0a9,LimitsExceeded,astropy__astropy-14096,1.7.0,kimi-k2-instruct-output,126,3.0089809999999995,0,mini-swe-agent-1,,
4d95973d-af5b-4719-8514-60ca5a0e84a0,Submitted,astropy__astropy-14182,1.7.0,kimi-k2-instruct-output,16,0.09714,0,mini-swe-agent-1,,
eed11cf6-94c9-4ddf-9ca7-07cf17a85940,Submitted,astropy__astropy-14309,1.7.0,kimi-k2-instruct-output,19,0.08676499999999998,1,mini-swe-agent-1,,
