agent_run_id,metadata.exit_status,metadata.instance_id,metadata.model_name_or_path,metadata.model_stats.api_calls,metadata.model_stats.instance_cost,metadata.scores.resolved,tag,created_at
4ac51c89-5c80-46e5-95ad-3c8c78ddd614,Submitted,django__django-11477,20250726_mini-v1.0.0_o4-mini-2025-04-16,27,0.2337335,0,,
c62f8358-72b3-4673-b6cb-f73e64eda5f8,Submitted,sphinx-doc__sphinx-10466,20250726_mini-v1.0.0_o4-mini-2025-04-16,7,0.025993,1,,
15cd5154-091a-4613-a56d-5c38e274bcc5,Submitted,sphinx-doc__sphinx-10614,20250726_mini-v1.0.0_o4-mini-2025-04-16,33,0.3575055,0,,
48f02d65-3d53-43b1-9c62-9b35f8dcc0f8,Submitted,sphinx-doc__sphinx-10673,20250726_mini-v1.0.0_o4-mini-2025-04-16,36,0.4616975000000001,0,,
c41be5ca-ce07-492f-96fc-0b16733b18a2,Submitted,sphinx-doc__sphinx-11445,20250726_mini-v1.0.0_o4-mini-2025-04-16,26,0.20605090000000006,0,,
30565619-22b3-4552-b177-709fd493a37a,Submitted,sphinx-doc__sphinx-11510,20250726_mini-v1.0.0_o4-mini-2025-04-16,31,0.3379827000000001,0,,
9be29425-f3c8-4667-8412-197968f573b0,Submitted,sphinx-doc__sphinx-7440,20250726_mini-v1.0.0_o4-mini-2025-04-16,15,0.07742350000000002,1,,
8474646b-b6ed-4812-97fc-3e423991071c,Submitted,sphinx-doc__sphinx-7454,20250726_mini-v1.0.0_o4-mini-2025-04-16,39,0.49887529999999997,0,,
8cf41c03-542d-4dcf-95a6-1dd523904c65,Submitted,sphinx-doc__sphinx-7462,20250726_mini-v1.0.0_o4-mini-2025-04-16,59,0.5362643,0,,
4abffb9c-c5dc-4ef1-90c6-e1e15a394992,Submitted,sphinx-doc__sphinx-7590,20250726_mini-v1.0.0_o4-mini-2025-04-16,18,0.10946760000000001,0,,
614c1bd2-63c4-4c78-9d57-67d33ced9af6,Submitted,sphinx-doc__sphinx-7748,20250726_mini-v1.0.0_o4-mini-2025-04-16,70,0.8456074000000001,0,,
df9caa6f-fad2-432b-ac89-92a8ef18c389,Submitted,sphinx-doc__sphinx-7757,20250726_mini-v1.0.0_o4-mini-2025-04-16,27,0.204501,1,,
eed94fcc-c6a8-4787-bc1f-761e5f49fca2,Submitted,sphinx-doc__sphinx-7889,20250726_mini-v1.0.0_o4-mini-2025-04-16,12,0.07997550000000002,0,,
ed43ef77-5661-4145-9232-3b03d3b8bae5,Submitted,sphinx-doc__sphinx-7910,20250726_mini-v1.0.0_o4-mini-2025-04-16,10,0.0514085,0,,
bfacf1e8-982a-4b09-b78a-8b6aace30275,Submitted,sphinx-doc__sphinx-7985,20250726_mini-v1.0.0_o4-mini-2025-04-16,21,0.1651936,0,,
bcf5d26e-f7c3-4cb1-b037-f7b75a067394,Submitted,sphinx-doc__sphinx-8035,20250726_mini-v1.0.0_o4-mini-2025-04-16,28,0.2333254,1,,
8770a894-df8e-4842-a416-49c78c25428f,Submitted,sphinx-doc__sphinx-8056,20250726_mini-v1.0.0_o4-mini-2025-04-16,50,0.5136560000000001,0,,
159f0b34-3523-475b-8946-23c2052ea148,Submitted,sphinx-doc__sphinx-9320,20250726_mini-v1.0.0_o4-mini-2025-04-16,36,0.24643520000000005,0,,
32148971-51e7-4612-ac3f-6fdecd964c08,Submitted,sphinx-doc__sphinx-9367,20250726_mini-v1.0.0_o4-mini-2025-04-16,6,0.016563800000000004,1,,
4eeb2627-bbd7-4a7b-8e31-56676501dde8,Submitted,sphinx-doc__sphinx-9461,20250726_mini-v1.0.0_o4-mini-2025-04-16,52,0.6408336000000003,0,,
1edc3d7c-c90a-4ad9-8c66-95295c9f7feb,Submitted,sphinx-doc__sphinx-9591,20250726_mini-v1.0.0_o4-mini-2025-04-16,86,1.539549,0,,
56394305-cb4b-4af0-a22d-97978170b8d5,Submitted,sphinx-doc__sphinx-9602,20250726_mini-v1.0.0_o4-mini-2025-04-16,59,0.6822475000000001,0,,
04238890-459a-47ce-8bde-440beab6b43e,Submitted,sphinx-doc__sphinx-9658,20250726_mini-v1.0.0_o4-mini-2025-04-16,47,0.5009895000000001,0,,
c5d3c03b-5fba-4080-b05a-6ad75ba4d8f3,Submitted,sphinx-doc__sphinx-9673,20250726_mini-v1.0.0_o4-mini-2025-04-16,63,0.6807493000000004,0,,
774a4412-03f1-4ce6-9030-704e0383656f,Submitted,sphinx-doc__sphinx-9698,20250726_mini-v1.0.0_o4-mini-2025-04-16,51,0.5305443000000001,0,,
97bb6c68-2bd8-45a7-a7e5-a75edc740aa7,Submitted,sphinx-doc__sphinx-9711,20250726_mini-v1.0.0_o4-mini-2025-04-16,11,0.0668426,1,,
45b495fc-6bf7-49e5-89f9-a7e9abf6533b,Submitted,sympy__sympy-11618,20250726_mini-v1.0.0_o4-mini-2025-04-16,21,0.11507540000000002,1,,
9c4bc934-bad9-4574-a8e9-a085d6fd2b64,Submitted,sympy__sympy-12096,20250726_mini-v1.0.0_o4-mini-2025-04-16,12,0.06807790000000001,1,,
8ae2f0ff-8f3d-4b6a-b76e-57eab9f0909b,Submitted,sympy__sympy-12419,20250726_mini-v1.0.0_o4-mini-2025-04-16,35,0.39854870000000003,0,,
a0a17aac-4e35-4cfc-9ad8-17d772cbb168,Submitted,sympy__sympy-12481,20250726_mini-v1.0.0_o4-mini-2025-04-16,35,0.2901646,0,,
37863dc4-0b32-4281-bf3e-e2a3c7430138,Submitted,sympy__sympy-12489,20250726_mini-v1.0.0_o4-mini-2025-04-16,36,0.36168330000000004,0,,
7ef2b971-9528-4c2c-bf29-6a70ba8c01c1,Submitted,sympy__sympy-13031,20250726_mini-v1.0.0_o4-mini-2025-04-16,25,0.22336160000000005,0,,
6d9ba6da-1c6e-41b0-936d-1eb958e62824,Submitted,sympy__sympy-13091,20250726_mini-v1.0.0_o4-mini-2025-04-16,13,0.055365199999999996,0,,
7704380c-4a50-4814-b034-fa169a35cacc,Submitted,sympy__sympy-13372,20250726_mini-v1.0.0_o4-mini-2025-04-16,5,0.037144800000000006,1,,
b1c12099-a93e-479e-9447-5e3d21d7d15e,Submitted,sympy__sympy-13480,20250726_mini-v1.0.0_o4-mini-2025-04-16,5,0.0178607,1,,
175b22f9-922e-4473-95a3-8e89e6261ca1,Submitted,sympy__sympy-13551,20250726_mini-v1.0.0_o4-mini-2025-04-16,27,0.2523686,0,,
8691e516-0970-4c7f-bcbe-fa620a5b619f,Submitted,sympy__sympy-13615,20250726_mini-v1.0.0_o4-mini-2025-04-16,36,0.2652067,0,,
4036e768-6742-4710-a7d8-ac83d763c938,Submitted,sympy__sympy-13647,20250726_mini-v1.0.0_o4-mini-2025-04-16,7,0.042769100000000004,1,,
7bf28f6d-2b1f-4317-a826-ef701fab7bdc,Submitted,sympy__sympy-13757,20250726_mini-v1.0.0_o4-mini-2025-04-16,11,0.08425010000000001,1,,
51513eb9-f5e7-4887-9a92-302db67fc6ad,Submitted,sympy__sympy-13798,20250726_mini-v1.0.0_o4-mini-2025-04-16,15,0.160061,0,,
380b61cb-0ebf-4cb4-af2b-6caf3a3929ca,Submitted,sympy__sympy-13852,20250726_mini-v1.0.0_o4-mini-2025-04-16,28,0.24633730000000004,0,,
0a332095-2b87-4620-8be7-9560c65edfe3,Submitted,sympy__sympy-13877,20250726_mini-v1.0.0_o4-mini-2025-04-16,12,0.0916971,0,,
443b7cb5-0665-4876-b7b6-ea1ed4945fa9,Submitted,sympy__sympy-13878,20250726_mini-v1.0.0_o4-mini-2025-04-16,33,0.25025220000000004,0,,
c904007d-32be-497d-9276-b16459e91311,Submitted,sympy__sympy-13974,20250726_mini-v1.0.0_o4-mini-2025-04-16,18,0.13525380000000004,0,,
3abfb1a4-31cd-42c3-b420-c2f3ebebf032,Submitted,sympy__sympy-14248,20250726_mini-v1.0.0_o4-mini-2025-04-16,47,0.5696460000000001,0,,
e9a376c5-f038-424f-be24-87ed70bed835,Submitted,sympy__sympy-14531,20250726_mini-v1.0.0_o4-mini-2025-04-16,16,0.09923210000000002,1,,
f1def1ba-e7ec-4bb8-9b79-8e9545befa38,Submitted,sympy__sympy-14711,20250726_mini-v1.0.0_o4-mini-2025-04-16,13,0.08771840000000002,1,,
5fe50ef5-6962-4dcd-b8d3-a6be25a0faf0,Submitted,sympy__sympy-14976,20250726_mini-v1.0.0_o4-mini-2025-04-16,61,0.8224656000000001,0,,
