Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
1,77.47%,Claude-Opus-4-5-20251101 (FC),https://www.anthropic.com/news/claude-4,N/A,N/A,N/A,N/A,88.58%,76.83%,95.50%,93.50%,88.50%,79.79%,86.43%,78.16%,87.50%,75.00%,68.38%,81.00%,64.00%,58.00%,70.50%,84.50%,84.00%,85.00%,73.76%,70.97%,72.90%,77.42%,62.50%,84.72%,N/A,N/A,Anthropic,Proprietary
2,71.95%,Claude-Opus-4.6 (FC),https://openai.com/zh-Hans-CN/index/introducing-gpt-5-2/,N/A,N/A,N/A,N/A,88.27%,78.58%,94.00%,92.00%,88.50%,79.79%,86.43%,78.16%,87.50%,75.00%,61.75%,74.50%,52.50%,53.50%,66.50%,67.00%,67.00%,67.00%,77.20%,68.39%,83.23%,80.00%,68.75%,77.78%,N/A,N/A,OpenAI,Proprietary
3,62.34%,Kimi K2.5 (FC),https://openai.com/zh-Hans-CN/index/introducing-gpt-5-2/,N/A,N/A,N/A,N/A,87.98%,71.42%,93.50%,94.50%,92.50%,79.79%,86.05%,78.35%,81.25%,75.00%,60.25%,69.00%,58.00%,53.00%,61.00%,30.00%,28.00%,32.00%,64.73%,56.77%,65.16%,72.26%,68.75%,85.39%,N/A,N/A,OpenAI,Proprietary
4,58.66%,GLM-4.7 (FC),https://openai.com/zh-Hans-CN/index/introducing-gpt-5-2/,N/A,N/A,N/A,N/A,87.00%,72.00%,95.00%,93.00%,88.00%,80.31%,89.53%,78.16%,81.25%,75.00%,67.12%,72.00%,69.00%,62.00%,65.50%,13.00%,11.00%,15.00%,53.33%,41.94%,62.58%,55.48%,75.00%,85.26%,N/A,N/A,OpenAI,Proprietary
5,56.13%,GPT-5.2-2025-12-11 (FC),https://openai.com/zh-Hans-CN/index/introducing-gpt-5-2/,N/A,N/A,N/A,N/A,81.85%,72.92%,88.00%,89.00%,77.50%,70.39%,71.71%,70.37%,68.75%,58.33%,29.00%,37.50%,19.00%,29.00%,30.50%,75.50%,78.00%,73.00%,45.81%,33.55%,43.23%,60.65%,75.00%,79.42%,N/A,N/A,OpenAI,Proprietary
6,54.62%,o4-mini-2025-04-16 (FC),https://openai.com/index/introducing-o3-and-o4-mini/,N/A,N/A,N/A,N/A,37.73%,66.92%,84.00%,0.00%,0.00%,66.10%,69.38%,67.81%,0.00%,0.00%,46.38%,56.50%,34.50%,45.00%,49.50%,75.50%,75.00%,76.00%,34.19%,19.35%,24.52%,58.71%,81.25%,83.91%,N/A,N/A,OpenAI,Proprietary
7,51.29%,NVIDIA Nemotron Nano 3 30B A3B (FC),https://openai.com/zh-Hans-CN/index/introducing-gpt-5-2/,N/A,N/A,N/A,N/A,84.02%,67.08%,93.00%,87.00%,89.00%,80.83%,85.66%,79.96%,81.25%,66.67%,51.88%,63.50%,43.50%,46.50%,54.00%,21.00%,17.00%,25.00%,33.33%,32.26%,28.39%,39.35%,68.75%,83.79%,N/A,N/A,OpenAI,Proprietary
8,48.74%,o3-2025-04-16 (FC),https://openai.com/index/introducing-o3-and-o4-mini/,N/A,N/A,N/A,N/A,40.38%,74.50%,87.00%,0.00%,0.00%,66.17%,70.54%,67.62%,0.00%,0.00%,15.38%,17.50%,12.00%,15.00%,17.00%,77.00%,79.00%,75.00%,47.31%,24.52%,44.52%,72.90%,81.25%,86.13%,N/A,N/A,OpenAI,Proprietary
9,48.03%,Qwen3-235B-A22B-Instruct-2507 (FC),https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,N/A,N/A,N/A,N/A,37.40%,40.58%,36.50%,53.00%,19.50%,68.91%,58.53%,71.60%,68.75%,62.50%,45.50%,57.50%,35.50%,33.50%,55.50%,54.00%,57.00%,51.00%,23.87%,7.10%,18.71%,45.81%,87.50%,81.73%,N/A,N/A,Qwen,apache-2.0
10,47.59%,MiniMax-M2.5 (FC),https://openai.com/zh-Hans-CN/index/introducing-gpt-5-2/,N/A,N/A,N/A,N/A,75.31%,70.75%,90.00%,63.50%,77.00%,77.28%,81.78%,76.64%,68.75%,62.50%,31.62%,32.00%,31.50%,28.50%,34.50%,39.00%,37.00%,41.00%,35.48%,34.84%,34.84%,36.77%,93.75%,79.46%,N/A,N/A,OpenAI,Proprietary
