Rank,Model,Multi Turn Overall Acc,Base,Miss Func,Miss Param,Long Context
1,Claude-Opus-4-5-20251101 (FC),68.38%,81.00%,64.00%,58.00%,70.50%
2,GLM-4.7 (FC),67.12%,72.00%,69.00%,62.00%,65.50%
3,Claude-Opus-4.6 (FC),61.75%,74.50%,52.50%,53.50%,66.50%
4,Kimi K2.5 (FC),60.25%,69.00%,58.00%,53.00%,61.00%
5,NVIDIA Nemotron Nano 3 30B A3B (FC),51.88%,63.50%,43.50%,46.50%,54.00%
6,o4-mini-2025-04-16 (FC),46.38%,56.50%,34.50%,45.00%,49.50%
7,Qwen3-235B-A22B-Instruct-2507 (FC),45.50%,57.50%,35.50%,33.50%,55.50%
8,Qwen3-Coder-480B-A35B (FC),42.12%,54.00%,33.00%,34.50%,47.00%
9,Gemini-2.5-Flash (FC),36.25%,41.50%,36.00%,32.00%,35.50%
10,MiniMax-M2.5 (FC),31.62%,32.00%,31.50%,28.50%,34.50%
11,Qwen3-30B-A3B-Instruct-2507 (FC),30.50%,44.50%,11.00%,25.00%,41.50%
12,GPT-5.2-2025-12-11 (FC),29.00%,37.50%,19.00%,29.00%,30.50%
13,GPT-5.2-Codex (FC),27.12%,32.00%,19.50%,28.50%,28.50%
14,Gemini 3 Flash Preview (FC),22.88%,28.00%,17.50%,18.50%,27.50%
15,o3-2025-04-16 (FC),15.38%,17.50%,12.00%,15.00%,17.00%
16,MiniMax-M2.1 (FC),9.50%,13.00%,4.50%,10.00%,10.50%
17,MiniMax-M2.1 (FC),9.50%,13.00%,4.50%,10.00%,10.50%
