model,ins_id,param_id,length,format,correct,ori,total_score
gpt-5.2,0,0,3,1.0,0.0,1.0,0.5
gpt-5.2,0,1,3,1.0,1.0,1.0,1.0
gpt-5.2,0,2,3,1.0,0.5,1.0,0.75
gpt-5.2,0,3,3,1.0,1.0,1.0,1.0
gpt-5.2,0,4,3,1.0,1.0,1.0,1.0
gpt-5.2,0,5,3,1.0,1.0,1.0,1.0
gpt-5.2,1,0,3,1.0,1.0,1.0,1.0
gpt-5.2,1,1,3,1.0,1.0,1.0,1.0
gpt-5.2,1,2,3,1.0,1.0,1.0,1.0
gpt-5.2,1,3,3,1.0,1.0,1.0,1.0
gpt-5.2,1,4,3,1.0,1.0,1.0,1.0
gpt-5.2,1,5,3,1.0,1.0,1.0,1.0
gpt-5.2,2,0,3,1.0,0.0,1.0,0.5
gpt-5.2,2,1,3,1.0,0.5,1.0,0.75
gpt-5.2,2,2,3,1.0,0.5,1.0,0.75
gpt-5.2,2,3,3,1.0,1.0,1.0,1.0
gpt-5.2,2,4,3,1.0,1.0,1.0,1.0
gpt-5.2,2,5,3,1.0,1.0,1.0,1.0
gpt-5.2,3,0,3,1.0,1.0,1.0,1.0
gpt-5.2,3,1,3,1.0,1.0,1.0,1.0
gpt-5.2,3,2,3,1.0,1.0,1.0,1.0
gpt-5.2,3,3,3,1.0,1.0,1.0,1.0
gpt-5.2,3,4,3,1.0,1.0,1.0,1.0
gpt-5.2,3,5,3,1.0,1.0,1.0,1.0
gpt-5.2,4,0,3,1.0,1.0,1.0,1.0
gpt-5.2,4,1,3,1.0,1.0,1.0,1.0
gpt-5.2,4,2,3,1.0,1.0,1.0,1.0
gpt-5.2,4,3,3,1.0,1.0,1.0,1.0
gpt-5.2,4,4,3,1.0,1.0,1.0,1.0
gpt-5.2,4,5,3,1.0,1.0,1.0,1.0
gpt-5.2,5,0,3,1.0,1.0,1.0,1.0
gpt-5.2,5,1,3,1.0,1.0,1.0,1.0
gpt-5.2,5,2,3,1.0,1.0,1.0,1.0
gpt-5.2,5,3,3,1.0,1.0,1.0,1.0
gpt-5.2,5,4,3,1.0,1.0,1.0,1.0
gpt-5.2,5,5,3,1.0,1.0,1.0,1.0
gpt-5.2,6,0,3,1.0,0.0,1.0,0.5
gpt-5.2,6,1,3,1.0,1.0,1.0,1.0
gpt-5.2,6,2,3,1.0,1.0,1.0,1.0
gpt-5.2,6,3,3,1.0,1.0,1.0,1.0
gpt-5.2,6,4,3,1.0,1.0,1.0,1.0
gpt-5.2,6,5,3,1.0,1.0,1.0,1.0
gpt-5.2,7,0,3,1.0,0.0,1.0,0.5
gpt-5.2,7,1,3,1.0,1.0,1.0,1.0
gpt-5.2,7,2,3,1.0,1.0,1.0,1.0
gpt-5.2,7,3,3,1.0,1.0,1.0,1.0
gpt-5.2,7,4,3,1.0,1.0,1.0,1.0
gpt-5.2,7,5,3,1.0,1.0,1.0,1.0
gpt-5.2,8,0,3,1.0,1.0,1.0,1.0
gpt-5.2,8,1,3,1.0,1.0,1.0,1.0
gpt-5.2,8,2,3,1.0,1.0,1.0,1.0
gpt-5.2,8,3,3,1.0,1.0,1.0,1.0
gpt-5.2,8,4,3,1.0,1.0,1.0,1.0
gpt-5.2,8,5,3,1.0,1.0,1.0,1.0
gpt-5.2,9,0,3,1.0,1.0,1.0,1.0
gpt-5.2,9,1,3,1.0,1.0,1.0,1.0
gpt-5.2,9,2,3,1.0,1.0,1.0,1.0
gpt-5.2,9,3,3,1.0,1.0,1.0,1.0
gpt-5.2,9,4,3,1.0,1.0,1.0,1.0
gpt-5.2,9,5,3,1.0,1.0,1.0,1.0
gpt-5.2,10,0,3,1.0,1.0,1.0,1.0
gpt-5.2,10,1,3,1.0,1.0,1.0,1.0
gpt-5.2,10,2,3,1.0,1.0,1.0,1.0
gpt-5.2,10,3,3,1.0,1.0,1.0,1.0
gpt-5.2,10,4,3,1.0,1.0,1.0,1.0
gpt-5.2,10,5,3,1.0,1.0,1.0,1.0
gpt-5.2,11,0,3,1.0,1.0,1.0,1.0
gpt-5.2,11,1,3,1.0,1.0,1.0,1.0
gpt-5.2,11,2,3,1.0,1.0,1.0,1.0
gpt-5.2,11,3,3,1.0,1.0,1.0,1.0
gpt-5.2,11,4,3,1.0,1.0,1.0,1.0
gpt-5.2,11,5,3,1.0,1.0,1.0,1.0
gpt-5.2,0,0,6,1.0,0.0,1.0,0.5
gpt-5.2,0,1,6,1.0,1.0,1.0,1.0
gpt-5.2,0,2,6,1.0,1.0,1.0,1.0
gpt-5.2,0,3,6,1.0,0.0,1.0,0.5
gpt-5.2,0,4,6,1.0,1.0,1.0,1.0
gpt-5.2,0,5,6,1.0,1.0,1.0,1.0
gpt-5.2,1,0,6,1.0,1.0,1.0,1.0
gpt-5.2,1,1,6,1.0,1.0,1.0,1.0
gpt-5.2,1,2,6,1.0,1.0,1.0,1.0
gpt-5.2,1,3,6,1.0,1.0,1.0,1.0
gpt-5.2,1,4,6,1.0,1.0,1.0,1.0
gpt-5.2,1,5,6,1.0,1.0,1.0,1.0
gpt-5.2,2,0,6,1.0,0.0,1.0,0.5
gpt-5.2,2,1,6,1.0,0.5,1.0,0.75
gpt-5.2,2,2,6,1.0,0.5,1.0,0.75
gpt-5.2,2,3,6,1.0,0.0,1.0,0.5
gpt-5.2,2,4,6,1.0,1.0,1.0,1.0
gpt-5.2,2,5,6,1.0,1.0,1.0,1.0
gpt-5.2,3,0,6,1.0,1.0,1.0,1.0
gpt-5.2,3,1,6,1.0,1.0,1.0,1.0
gpt-5.2,3,2,6,1.0,1.0,1.0,1.0
gpt-5.2,3,3,6,1.0,1.0,1.0,1.0
gpt-5.2,3,4,6,1.0,1.0,1.0,1.0
gpt-5.2,3,5,6,1.0,1.0,1.0,1.0
gpt-5.2,4,0,6,1.0,1.0,1.0,1.0
gpt-5.2,4,1,6,1.0,1.0,1.0,1.0
gpt-5.2,4,2,6,1.0,1.0,1.0,1.0
gpt-5.2,4,3,6,1.0,1.0,1.0,1.0
gpt-5.2,4,4,6,1.0,1.0,1.0,1.0
gpt-5.2,4,5,6,1.0,1.0,1.0,1.0
gpt-5.2,5,0,6,1.0,1.0,1.0,1.0
gpt-5.2,5,1,6,1.0,1.0,1.0,1.0
gpt-5.2,5,2,6,1.0,1.0,1.0,1.0
gpt-5.2,5,3,6,1.0,1.0,1.0,1.0
gpt-5.2,5,4,6,1.0,1.0,1.0,1.0
gpt-5.2,5,5,6,1.0,1.0,1.0,1.0
gpt-5.2,6,0,6,1.0,0.0,1.0,0.5
gpt-5.2,6,1,6,1.0,1.0,1.0,1.0
gpt-5.2,6,2,6,1.0,1.0,1.0,1.0
gpt-5.2,6,3,6,1.0,1.0,1.0,1.0
gpt-5.2,6,4,6,1.0,1.0,1.0,1.0
gpt-5.2,6,5,6,1.0,0.0,1.0,0.5
gpt-5.2,7,0,6,1.0,1.0,1.0,1.0
gpt-5.2,7,1,6,1.0,1.0,1.0,1.0
