model,ins_id,param_id,length,format,num,correct,order,total_score
gpt-5.2,0,0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,1,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,1,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,1,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,3,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,4,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,1,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,1,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,3,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,4,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,0,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,1,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,2,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,0,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,1,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,1,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,3,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,4,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,0,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,1,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,2,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,1,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,2,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,3,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,4,6,1.0,1.0,0.9,1.0,0.97
gpt-5.2,0,0,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,1,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,2,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,0,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,1,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,1,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,13,1.0,1.0,0.8333333333333334,1.0,0.95
gpt-5.2,2,3,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,4,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,0,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,1,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,2,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,13,1.0,1.0,0.9,1.0,0.97
gpt-5.2,4,0,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,1,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,2,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,3,13,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,4,4,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,0,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,1,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,2,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,0,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,1,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,28,1.0,1.0,0.8333333333333334,1.0,0.95
gpt-5.2,1,3,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,1,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,3,28,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,2,4,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,0,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,1,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,2,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,1,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,2,28,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,3,28,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,4,4,28,1.0,1.0,0.9,1.0,0.97
gpt-5.2,0,0,60,1.0,1.0,0.5,0.5,0.75
gpt-5.2,0,1,60,1.0,1.0,0.75,1.0,0.925
gpt-5.2,0,2,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,60,1.0,1.0,0.9,1.0,0.97
gpt-5.2,1,0,60,1.0,1.0,0.5,0.5,0.75
gpt-5.2,1,1,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,60,1.0,1.0,0.9,1.0,0.97
gpt-5.2,2,0,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,1,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,3,60,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,2,4,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,0,60,1.0,1.0,0.5,0.5,0.75
gpt-5.2,3,1,60,1.0,1.0,0.75,1.0,0.925
gpt-5.2,3,2,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,60,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,3,4,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,1,60,1.0,1.0,0.75,1.0,0.925
gpt-5.2,4,2,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,3,60,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,4,60,1.0,1.0,0.8000000000000002,1.0,0.9400000000000001
gpt-5.2,0,0,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,1,120,1.0,1.0,0.75,1.0,0.925
gpt-5.2,0,2,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,120,1.0,1.0,0.9,1.0,0.97
gpt-5.2,1,0,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,1,120,1.0,1.0,0.75,1.0,0.925
gpt-5.2,1,2,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,120,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,1,4,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,1,120,1.0,1.0,0.75,1.0,0.925
gpt-5.2,2,2,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,3,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,4,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,0,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,1,120,1.0,1.0,0.75,1.0,0.925
gpt-5.2,3,2,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,1,120,1.0,1.0,0.75,1.0,0.925
gpt-5.2,4,2,120,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,3,120,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,4,4,120,1.0,1.0,0.9,1.0,0.97
gpt-oss-120b,0,0,3,0.75,1.0,1.0,1.0,0.95
gpt-oss-120b,0,1,3,0.75,1.0,0.75,1.0,0.875
gpt-oss-120b,0,2,3,0.75,1.0,0.6666666666666666,1.0,0.85
gpt-oss-120b,0,3,3,0.75,1.0,0.75,1.0,0.875
gpt-oss-120b,0,4,3,0.75,1.0,0.6,1.0,0.8300000000000001
gpt-oss-120b,1,0,3,0.75,1.0,0.5,0.5,0.7
gpt-oss-120b,1,1,3,0.75,1.0,0.75,1.0,0.875
gpt-oss-120b,1,2,3,0.75,1.0,0.3333333333333333,1.0,0.75
gpt-oss-120b,1,3,3,0.75,1.0,0.875,1.0,0.9125
gpt-oss-120b,1,4,3,0.75,1.0,0.9,1.0,0.9199999999999999
gpt-oss-120b,2,0,3,0.75,1.0,0.0,0.5,0.55
gpt-oss-120b,2,1,3,0.75,1.0,0.75,1.0,0.875
gpt-oss-120b,2,2,3,0.75,1.0,0.6666666666666666,1.0,0.85
gpt-oss-120b,2,3,3,0.75,1.0,0.875,1.0,0.9125
gpt-oss-120b,2,4,3,0.75,1.0,0.8000000000000002,1.0,0.89
gpt-oss-120b,3,0,3,0.75,1.0,1.0,1.0,0.95
gpt-oss-120b,3,1,3,0.75,1.0,0.75,1.0,0.875
gpt-oss-120b,3,2,3,0.75,1.0,0.8333333333333334,1.0,0.9
gpt-oss-120b,3,3,3,0.75,1.0,0.875,1.0,0.9125
gpt-oss-120b,3,4,3,0.75,1.0,0.9,1.0,0.9199999999999999
gpt-oss-120b,4,0,3,0.75,1.0,1.0,1.0,0.95
gpt-oss-120b,4,1,3,0.75,1.0,0.75,1.0,0.875
gpt-oss-120b,4,2,3,0.75,1.0,0.3333333333333333,1.0,0.75
gpt-oss-120b,4,3,3,0.75,1.0,0.75,1.0,0.875
gpt-oss-120b,4,4,3,0.75,1.0,1.0,1.0,0.95
gpt-oss-120b,0,0,6,0.75,1.0,1.0,1.0,0.95
gpt-oss-120b,0,1,6,0.75,1.0,1.0,1.0,0.95
gpt-oss-120b,0,2,6,0.75,1.0,0.6666666666666666,1.0,0.85
gpt-oss-120b,0,3,6,0.75,1.0,0.75,1.0,0.875
gpt-oss-120b,0,4,6,0.75,1.0,0.4000000000000001,1.0,0.77
gpt-oss-120b,1,0,6,0.75,1.0,0.5,0.5,0.7
gpt-oss-120b,1,1,6,0.75,1.0,1.0,1.0,0.95
gpt-oss-120b,1,2,6,0.75,1.0,0.6666666666666666,1.0,0.85
gpt-oss-120b,1,3,6,0.75,0.5833333333333334,0.75,1.0,0.75
gpt-oss-120b,1,4,6,0.75,1.0,0.4000000000000001,1.0,0.77
gpt-oss-120b,2,0,6,0.75,1.0,1.0,1.0,0.95
gpt-oss-120b,2,1,6,0.75,1.0,1.0,1.0,0.95
gpt-oss-120b,2,2,6,0.75,1.0,0.6666666666666666,1.0,0.85
gpt-oss-120b,2,3,6,0.75,0.5833333333333334,0.75,1.0,0.75
gpt-oss-120b,2,4,6,0.75,1.0,0.4000000000000001,1.0,0.77
gpt-oss-120b,3,0,6,0.75,1.0,0.5,0.5,0.7
gpt-oss-120b,3,1,6,0.75,1.0,1.0,1.0,0.95
