model,ins_id,param_id,length,correct,num_text,ori,format,total_score
gpt-5.2,0,0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,1,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-5.2,0,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-5.2,1,0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,1,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,4,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,0,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-5.2,2,1,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,3,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,4,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-5.2,3,0,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,1,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,3,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,3,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-5.2,4,1,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,3,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,4,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,0,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,1,6,1.0,0.5333333333333334,0.9166666666666666,1.0,0.8583333333333334
gpt-5.2,0,2,6,1.0,1.0,0.5,0.6,0.75
gpt-5.2,0,3,6,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,0,4,6,1.0,0.5333333333333334,1.0,0.8,0.8333333333333334
gpt-5.2,1,0,6,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-5.2,1,1,6,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-5.2,1,2,6,1.0,0.5333333333333334,1.0,0.8,0.8333333333333334
gpt-5.2,1,3,6,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,1,4,6,1.0,1.0,0.5,0.6,0.75
gpt-5.2,2,0,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,1,6,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-5.2,2,2,6,1.0,1.0,0.5,0.6,0.75
gpt-5.2,2,3,6,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,2,4,6,1.0,1.0,0.5,0.6,0.75
gpt-5.2,3,0,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,1,6,1.0,0.5333333333333334,0.9166666666666666,1.0,0.8583333333333334
gpt-5.2,3,2,6,1.0,1.0,0.5,0.6,0.75
gpt-5.2,3,3,6,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,3,4,6,1.0,0.5333333333333334,1.0,0.8,0.8333333333333334
gpt-5.2,4,0,6,1.0,0.5333333333333334,0.9166666666666666,1.0,0.8583333333333334
gpt-5.2,4,1,6,1.0,1.0,0.875,1.0,0.9625
gpt-5.2,4,2,6,1.0,1.0,0.5,0.6,0.75
gpt-5.2,4,3,6,1.0,0.5333333333333334,0.9166666666666666,1.0,0.8583333333333334
gpt-5.2,4,4,6,0.75,1.0,0.5,1.0,0.8
gpt-5.2,0,0,13,1.0,0.64,1.0,1.0,0.9099999999999999
gpt-5.2,0,1,13,1.0,0.64,1.0,1.0,0.9099999999999999
gpt-5.2,0,2,13,1.0,0.64,1.0,0.8,0.86
gpt-5.2,0,3,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,4,13,1.0,0.64,1.0,0.8,0.86
gpt-5.2,1,0,13,1.0,0.64,1.0,1.0,0.9099999999999999
gpt-5.2,1,1,13,1.0,0.64,1.0,1.0,0.9099999999999999
gpt-5.2,1,2,13,1.0,0.64,1.0,0.8,0.86
gpt-5.2,1,3,13,1.0,0.64,1.0,1.0,0.9099999999999999
gpt-5.2,1,4,13,0.75,1.0,0.5,1.0,0.8
gpt-5.2,2,0,13,1.0,0.64,1.0,1.0,0.9099999999999999
gpt-5.2,2,1,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,2,2,13,1.0,0.64,1.0,0.8,0.86
gpt-5.2,2,3,13,1.0,0.64,1.0,1.0,0.9099999999999999
gpt-5.2,2,4,13,1.0,0.64,1.0,0.6,0.8099999999999999
gpt-5.2,3,0,13,0.84765625,0.64,0.9500000000000001,1.0,0.86453125
gpt-5.2,3,1,13,1.0,0.64,1.0,1.0,0.9099999999999999
gpt-5.2,3,2,13,1.0,0.64,1.0,0.8,0.86
gpt-5.2,3,3,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,3,4,13,0.75,0.64,0.5,1.0,0.71
gpt-5.2,4,0,13,1.0,0.64,1.0,1.0,0.9099999999999999
gpt-5.2,4,1,13,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,2,13,1.0,0.64,1.0,0.8,0.86
gpt-5.2,4,3,13,1.0,0.64,1.0,1.0,0.9099999999999999
gpt-5.2,4,4,13,1.0,1.0,1.0,0.8,0.95
gpt-5.2,0,0,28,0.7709750566893423,0.4,1.0,1.0,0.8041950113378684
gpt-5.2,0,1,28,1.0,0.6666666666666667,1.0,1.0,0.9166666666666666
gpt-5.2,0,2,28,0.9589002267573696,1.0,0.4895833333333333,0.6,0.738655045351474
gpt-5.2,0,3,28,0.9410430839002268,0.5333333333333334,0.9814814814814815,1.0,0.8659863945578232
gpt-5.2,0,4,28,0.75,0.5333333333333334,0.5,0.8,0.6333333333333334
gpt-5.2,1,0,28,0.6632653061224489,1.0,1.0,1.0,0.9326530612244899
gpt-5.2,1,1,28,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-5.2,1,2,28,1.0,1.0,0.5,0.6,0.75
gpt-5.2,1,3,28,0.75,0.5333333333333334,0.49074074074074076,1.0,0.6805555555555556
gpt-5.2,1,4,28,0.9546485260770975,1.0,0.5,0.6,0.7409297052154196
gpt-5.2,2,0,28,0.9410430839002268,0.6666666666666667,0.9642857142857143,1.0,0.8941609977324264
gpt-5.2,2,1,28,1.0,0.6666666666666667,1.0,1.0,0.9166666666666666
gpt-5.2,2,2,28,0.9589002267573696,0.5333333333333334,0.9903846153846154,0.8,0.8222287633001919
gpt-5.2,2,3,28,0.7142857142857143,0.4,0.49074074074074076,1.0,0.6400793650793651
gpt-5.2,2,4,28,0.9546485260770975,1.0,0.5,0.6,0.7409297052154196
gpt-5.2,3,0,28,0.9410430839002268,0.6666666666666667,1.0,1.0,0.904875283446712
gpt-5.2,3,1,28,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-5.2,3,2,28,1.0,0.6666666666666667,1.0,0.8,0.8666666666666666
gpt-5.2,3,3,28,0.9589002267573696,0.4,0.9833333333333334,1.0,0.836780045351474
gpt-5.2,3,4,28,0.9427437641723356,0.5333333333333334,0.9933333333333333,0.8,0.8198820861678005
gpt-5.2,4,0,28,0.9410430839002268,0.5333333333333334,0.9814814814814815,1.0,0.8659863945578232
gpt-5.2,4,1,28,1.0,0.5333333333333334,1.0,1.0,0.8833333333333334
gpt-5.2,4,2,28,1.0,0.6666666666666667,1.0,0.8,0.8666666666666666
gpt-5.2,4,3,28,0.9189342403628118,0.5333333333333334,0.9899999999999999,1.0,0.8641201814058956
gpt-5.2,4,4,28,0.7380952380952381,0.6666666666666667,0.5,1.0,0.7142857142857143
gpt-5.2,0,0,60,0.6298828125,0.0,0.9649122807017544,1.0,0.6654502467105263
gpt-5.2,0,1,60,0.9483506944444444,0.22857142857142856,1.0,1.0,0.796812996031746
gpt-5.2,0,2,60,0.8761935763888888,0.22857142857142856,1.0,0.8,0.7323815724206348
gpt-5.2,0,3,60,0.7955729166666666,0.0,0.9930555555555557,1.0,0.70703125
gpt-5.2,0,4,60,0.8837890625,0.6857142857142857,0.9730458221024257,0.6,0.7901001305592992
gpt-5.2,1,0,60,0.6259765625,1.0,0.9777777777777777,1.0,0.9185286458333334
gpt-5.2,1,1,60,0.892578125,0.6857142857142857,1.0,1.0,0.8999441964285715
gpt-5.2,1,2,60,0.9116753472222222,0.0,0.9820574162679426,0.8,0.6769522943248273
gpt-5.2,1,3,60,0.8464626736111112,0.34285714285714286,1.0,1.0,0.805006820436508
gpt-5.2,1,4,60,0.8767361111111112,0.0,0.9741915422885571,0.8,0.6676046849087893
gpt-5.2,2,0,60,0.7702907986111112,0.34285714285714286,1.0,1.0,0.7897724454365079
gpt-5.2,2,1,60,0.84765625,0.45714285714285713,1.0,1.0,0.8338169642857143
gpt-5.2,2,2,60,0.8171657986111112,0.11428571428571432,0.9938271604938271,0.8,0.690152736441799
