model,ins_id,param_id,length,candi_ori,logit_correct,num_doc,format,total_score
gpt-5.2,0,0,3,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,0,1,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,3,1.0,0.6999999999999998,1.0,0.6,0.7928571428571428
gpt-5.2,0,4,3,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,1,0,3,1.0,0.9,1.0,1.0,0.9785714285714285
gpt-5.2,1,1,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,2,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,1,3,3,1.0,0.6,1.0,0.6,0.7714285714285715
gpt-5.2,1,4,3,1.0,0.9,1.0,0.6,0.8357142857142856
gpt-5.2,2,0,3,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,2,1,3,1.0,0.9,1.0,0.6,0.8357142857142856
gpt-5.2,2,2,3,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,2,3,3,1.0,0.6999999999999998,1.0,0.6,0.7928571428571428
gpt-5.2,2,4,3,1.0,0.9,1.0,0.6,0.8357142857142856
gpt-5.2,3,0,3,1.0,0.9,1.0,1.0,0.9785714285714285
gpt-5.2,3,1,3,1.0,0.9,1.0,1.0,0.9785714285714285
gpt-5.2,3,2,3,1.0,0.9,1.0,1.0,0.9785714285714285
gpt-5.2,3,3,3,1.0,0.6999999999999998,1.0,1.0,0.9357142857142857
gpt-5.2,3,4,3,1.0,1.0,1.0,1.0,1.0
gpt-5.2,4,0,3,1.0,0.9,1.0,0.6,0.8357142857142856
gpt-5.2,4,1,3,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,4,2,3,1.0,0.9,1.0,0.6,0.8357142857142856
gpt-5.2,4,3,3,1.0,0.6999999999999998,1.0,0.6,0.7928571428571428
gpt-5.2,4,4,3,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,0,0,6,1.0,0.9499999999999998,1.0,0.6,0.8464285714285714
gpt-5.2,0,1,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,0,2,6,1.0,1.0,1.0,1.0,1.0
gpt-5.2,0,3,6,1.0,0.65,1.0,1.0,0.9249999999999999
gpt-5.2,0,4,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,1,0,6,1.0,1.0,1.0,0.6,0.8571428571428571
gpt-5.2,1,1,6,1.0,0.9499999999999998,1.0,0.6,0.8464285714285714
gpt-5.2,1,2,6,1.0,0.9499999999999998,1.0,0.6,0.8464285714285714
