idx,score,metric_name
0,76.43161313935813,codebleu
1,76.43161313935813,codebleu
2,76.43161313935813,codebleu
3,75.40663740773074,codebleu
4,100.0,codebleu
5,48.793884852539705,codebleu
6,64.19286129883564,codebleu
7,29.376539179864956,codebleu
8,25.0,codebleu
9,25.0,codebleu
10,61.97782138338583,codebleu
11,14.583333333333334,codebleu
12,28.125,codebleu
13,55.53941064735807,codebleu
14,43.09574127310082,codebleu
15,65.8113883008419,codebleu
16,7.142857142857142,codebleu
17,25.0,codebleu
18,57.98598256517086,codebleu
19,76.43161313935813,codebleu
20,25.0,codebleu
21,100.0,codebleu
22,25.0,codebleu
23,98.64354022507939,codebleu
24,76.43161313935813,codebleu
25,12.5,codebleu
26,25.0,codebleu
27,25.0,codebleu
28,29.166666666666668,codebleu
29,25.0,codebleu
30,65.8113883008419,codebleu
31,56.98014561486395,codebleu
32,28.57142857142857,codebleu
33,25.0,codebleu
34,76.43161313935813,codebleu
35,25.0,codebleu
36,76.43161313935813,codebleu
37,25.0,codebleu
38,36.71138974055986,codebleu
39,25.0,codebleu
40,55.53941064735807,codebleu
41,13.602517012231965,codebleu
42,26.84914604188967,codebleu
43,25.0,codebleu
44,65.8113883008419,codebleu
45,76.43161313935813,codebleu
46,100.0,codebleu
47,25.0,codebleu
48,33.33333333333333,codebleu
49,26.94279209852034,codebleu
50,3.125,codebleu
51,3.667778145596899,codebleu
52,47.47744046296752,codebleu
53,28.125,codebleu
54,100.0,codebleu
55,76.43161313935813,codebleu
56,25.0,codebleu
57,16.666666666666664,codebleu
58,25.0,codebleu
59,25.0,codebleu
60,25.0,codebleu
61,30.924659700727986,codebleu
62,76.43161313935813,codebleu
63,76.43161313935813,codebleu
64,25.0,codebleu
65,55.53941064735807,codebleu
66,25.0,codebleu
67,27.726551377792042,codebleu
68,44.94945742357519,codebleu
69,25.914817914722864,codebleu
70,100.0,codebleu
71,25.0,codebleu
72,65.8113883008419,codebleu
73,98.64354022507939,codebleu
74,9.94445574193852,codebleu
75,76.43161313935813,codebleu
76,25.0,codebleu
77,35.29021167575188,codebleu
78,25.314811345747977,codebleu
79,26.651428190218773,codebleu
80,100.0,codebleu
81,37.5,codebleu
82,25.0,codebleu
83,34.53446692932063,codebleu
84,38.67388174950208,codebleu
85,98.64354022507939,codebleu
86,100.0,codebleu
